pharmacy,commercial_name,formal_name,registro_sanitario,registro_sanitario_key,digemid_item,digemid_producto,digemid_distribuidor,digemid_fabricante,digemid_forma_farmaceutica,digemid_codigo_atc,digemid_grupo_atc_3,digemid_grupo_atc_4,digemid_clasificacion,digemid_composicion,component_id,ingredient,amount,unit,amount_mg,component_match_score,component_match_method,price,currency,availability,url,sku,brand,image_url,image_source,image_local_path,image_downloaded_at,source_strategy,regulatory_status,contains_fish,contains_fish_inferred,contains_shellfish,contains_shellfish_inferred,contains_gelatin,contains_gelatin_inferred,softgel_verified,softgel_inferred,contains_dairy,contains_dairy_inferred,contains_lactose,contains_lactose_inferred,contains_soy,contains_soy_inferred,contains_soya,contains_soya_inferred,gluten_free_verified,gluten_free_inferred,label_status,label_verified_at,label_verification_source,label_verification_notes,restriction_traceability_level,brand_confidence,brand_source,amount_source,serving_size,units_per_pack,commercial_confidence_score,commercial_confidence_level,commercial_confidence_reasons
Inkafarma,Sunvit Vitamin E 400 IU Cápsula Blanda,Sunvit Vitamin E 400 IU Cápsula Blanda,DE2794,DE2794,DE2794,VITAMIN E 400 IU .,INRETAIL PHARMA S.A.,AVANTI NUTRITIONAL LABORATORIES,CAPSULA BLANDA,A11HA03,A11,A11H,Tocoferol (vit E),VITAMINA E (TOCOFEROL) 400.000000 UI,COMP_5A316FA3FF05,VITAMINA E (TOCOFEROL),400.0,ui,268,88.88888888888889,fuzzy_translated,56.8,PEN,available,https://inkafarma.pe/producto/sunvit-vitamin-e-400-iu-capsula-blanda/066550,066550,Sunvit,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/066550X.jpg,card,data/raw/pharmacies/product_images/inkafarma_066550_91081edd86b41d0e21.jpg,2026-06-30T04:06:52.884743+00:00,algolia_public_search,digemid_match,,,,,true,true,true,true,,,,,,,,,,,verified,2026-06-30T04:25:07+00:00,digemid_composicion+digemid_forma_farmaceutica,flags verificados por campos regulatorios disponibles,verified,high,source_field,component_amount_conversion,,,1.0000,alta,RS informado y trazable;Componente validado contra RS;Precio válido;Disponible en farmacia;Dosis declarada;Etiqueta/fuente verificada;Marca identificada;Match de componente aceptable
Inkafarma,Sunvit Vitamin E 400 IU Cápsula Blanda,Sunvit Vitamin E 400 IU Cápsula Blanda,DE2794,DE2794,DE2794,VITAMIN E 400 IU .,INRETAIL PHARMA S.A.,AVANTI NUTRITIONAL LABORATORIES,CAPSULA BLANDA,A11HA03,A11,A11H,Tocoferol (vit E),VITAMINA E (TOCOFEROL) 400.000000 UI,COMP_5A316FA3FF05,VITAMINA E (TOCOFEROL),400.0,ui,268,88.88888888888889,fuzzy_translated,27.9,PEN,available,https://inkafarma.pe/producto/sunvit-vitamin-e-400-iu-capsula-blanda/037783,037783,SUNVIT,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/037783X.jpg,card,data/raw/pharmacies/product_images/inkafarma_037783_ed9dc59940a8e7b847.jpg,2026-06-30T04:06:52.901002+00:00,algolia_public_search,digemid_match,,,,,true,true,true,true,,,,,,,,,,,verified,2026-06-30T04:25:07+00:00,digemid_composicion+digemid_forma_farmaceutica,flags verificados por campos regulatorios disponibles,verified,high,source_field,component_amount_conversion,,,1.0000,alta,RS informado y trazable;Componente validado contra RS;Precio válido;Disponible en farmacia;Dosis declarada;Etiqueta/fuente verificada;Marca identificada;Match de componente aceptable
Inkafarma,Magnesio + Complejo B Vivactiv Tableta Efervescente,Magnesio + Complejo B Vivactiv Tableta Efervescente,DE4606,DE4606,DE4606,MAGNESIO .,MEDSTYLE PERUANA S.A.C.,SINCROFARM SL,COMPRIMIDO,A16,A16,A16,OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y METABOLISMO,CLORURO DE MAGNESIO HEXAHIDRATO 373.900000 mg CARBONATO DE MAGNESIO 156.800000 mg,COMP_BF9CE150E7A0,CLORURO DE MAGNESIO HEXAHIDRATO,373.9,mg,373.9,100.0,exact_es,12.9,PEN,available,https://inkafarma.pe/producto/vivactiv-complejob-efervescente/028971,028971,VIVACTIV,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/028971X.jpg,card,data/raw/pharmacies/product_images/inkafarma_028971_ab1c98876665551b83.jpg,2026-06-30T04:06:52.911526+00:00,algolia_public_search,digemid_match,,,,,,,,,,,,,,,,,,,unknown,,,,unknown,high,source_field,component_parser,,,0.9200,alta,RS informado y trazable;Componente validado contra RS;Precio válido;Disponible en farmacia;Dosis declarada;Marca identificada;Match de componente alto
Inkafarma,Magnesio + Complejo B Vivactiv Tableta Efervescente,Magnesio + Complejo B Vivactiv Tableta Efervescente,DE4606,DE4606,DE4606,MAGNESIO .,MEDSTYLE PERUANA S.A.C.,SINCROFARM SL,COMPRIMIDO,A16,A16,A16,OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y METABOLISMO,CLORURO DE MAGNESIO HEXAHIDRATO 373.900000 mg CARBONATO DE MAGNESIO 156.800000 mg,COMP_83336712C554,CARBONATO DE MAGNESIO,156.8,mg,156.8,100.0,manual_alias,12.9,PEN,available,https://inkafarma.pe/producto/vivactiv-complejob-efervescente/028971,028971,VIVACTIV,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/028971X.jpg,card,data/raw/pharmacies/product_images/inkafarma_028971_ab1c98876665551b83.jpg,2026-06-30T04:06:52.911526+00:00,algolia_public_search,digemid_match,,,,,,,,,,,,,,,,,,,unknown,,,,unknown,high,source_field,component_parser,,,0.9200,alta,RS informado y trazable;Componente validado contra RS;Precio válido;Disponible en farmacia;Dosis declarada;Marca identificada;Match de componente alto
Inkafarma,Vitamina E 1000 UI Cápsula Blanda,Vitamina E 1000 UI Cápsula Blanda,DE0825,DE0825,DE0825,VITAMINA E 1000 UI,UNIMED DEL PERU S.A.,PROCAPS S.A.,CAPSULA BLANDA,A11HA03,A11,A11H,Tocoferol (vit E),"DL-ALFA ACETATO DE TOCOFERILO 1,000.000000 mg",COMP_D4790F9775EF,DL-ALFA ACETATO DE TOCOFERILO 1,0.0,mg,0.0,100.0,manual_alias,56.5,PEN,available,https://inkafarma.pe/producto/vitamina-e-1000-ui-capsula-blanda/070653,070653,VITAMINA E,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/070653X.jpg,card,data/raw/pharmacies/product_images/inkafarma_070653_13c66997e6a194c3f2.jpg,2026-06-30T04:06:52.935706+00:00,algolia_public_search,digemid_match,,,,,true,true,true,true,,,,,,,,,,,verified,2026-06-30T04:25:07+00:00,digemid_composicion+digemid_forma_farmaceutica,flags verificados por campos regulatorios disponibles,verified,high,source_field,component_parser,,,1.0000,alta,RS informado y trazable;Componente validado contra RS;Precio válido;Disponible en farmacia;Dosis declarada;Etiqueta/fuente verificada;Marca identificada;Match de componente alto
Inkafarma,Sunvit Vitamin A 10000 UI Cápsula blanda,Sunvit Vitamin A 10000 UI Cápsula blanda,DE4079,DE4079,DE4079,VITAMIN A 10000 UI,INRETAIL PHARMA S.A.,AVANTI NUTRITIONAL LABORATORIES,CAPSULA BLANDA,A11CA01,A11,A11C,Retinol (vit A),VITAMINA A 10.000000 mg,COMP_90C4121BAE0C,VITAMINA A,10.0,mg,10.0,100.0,exact_translated,27.9,PEN,available,https://inkafarma.pe/producto/sunvit-vitamin-a-10000-ui-capsula-blanda/037805,037805,SUNVIT,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/037805X.jpg,card,data/raw/pharmacies/product_images/inkafarma_037805_a08b8a2ceda71751de.jpg,2026-06-30T04:06:52.956281+00:00,algolia_public_search,digemid_match,,,,,true,true,true,true,,,,,,,,,,,verified,2026-06-30T04:25:07+00:00,digemid_composicion+digemid_forma_farmaceutica,flags verificados por campos regulatorios disponibles,verified,high,source_field,component_parser,,,1.0000,alta,RS informado y trazable;Componente validado contra RS;Precio válido;Disponible en farmacia;Dosis declarada;Etiqueta/fuente verificada;Marca identificada;Match de componente alto
Inkafarma,Hierro + Vitamina C Vitamins For Life Tableta Efervescente Sabor Cereza,Hierro + Vitamina C Vitamins For Life Tableta Efervescente Sabor Cereza,DE2095,DE2095,DE2095,HIERRO + VITAMINA C (VITAMINS FOR LIFE) .,PHARMARIS PERU S.A.C.,C. HEDENKAMP GMBH & CO.KG,TABLETA EFERVESCENTE,A11AA01,A11,A11A,Multivitamínicos con hierro,GLUCONATO FERROSO 132.000000 mg ACIDO ASCORBICO 75.000000 mg,COMP_4ABFB4F7511E,GLUCONATO FERROSO,132.0,mg,132.0,100.0,exact_es,14.9,PEN,available,https://inkafarma.pe/producto/iron-vitamina-c-tableta-efervescente/011029,011029,VITAMINS FOR LIFE,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/011029X.jpg,card,data/raw/pharmacies/product_images/inkafarma_011029_0c639debf468e90e0c.jpg,2026-06-30T04:06:52.991953+00:00,algolia_public_search,digemid_match,,,,,,,,,,,,,,,,,,,unknown,,,,unknown,high,source_field,component_parser,,,0.9200,alta,RS informado y trazable;Componente validado contra RS;Precio válido;Disponible en farmacia;Dosis declarada;Marca identificada;Match de componente alto
Inkafarma,Hierro + Vitamina C Vitamins For Life Tableta Efervescente Sabor Cereza,Hierro + Vitamina C Vitamins For Life Tableta Efervescente Sabor Cereza,DE2095,DE2095,DE2095,HIERRO + VITAMINA C (VITAMINS FOR LIFE) .,PHARMARIS PERU S.A.C.,C. HEDENKAMP GMBH & CO.KG,TABLETA EFERVESCENTE,A11AA01,A11,A11A,Multivitamínicos con hierro,GLUCONATO FERROSO 132.000000 mg ACIDO ASCORBICO 75.000000 mg,COMP_67B16EEFC42F,ACIDO ASCORBICO,75.0,mg,75.0,100.0,exact_es,14.9,PEN,available,https://inkafarma.pe/producto/iron-vitamina-c-tableta-efervescente/011029,011029,VITAMINS FOR LIFE,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/011029X.jpg,card,data/raw/pharmacies/product_images/inkafarma_011029_0c639debf468e90e0c.jpg,2026-06-30T04:06:52.991953+00:00,algolia_public_search,digemid_match,,,,,,,,,,,,,,,,,,,unknown,,,,unknown,high,source_field,component_parser,,,0.9200,alta,RS informado y trazable;Componente validado contra RS;Precio válido;Disponible en farmacia;Dosis declarada;Marca identificada;Match de componente alto
Inkafarma,Vitamina E 400 UI Cápsula Blanda,Vitamina E 400 UI Cápsula Blanda,DE4803,DE4803,DE4803,VITAMINA E 400 UI,INTERNATIONAL PHARMACY AND EXCLUSIVE LINES S.A.C.,ALFA VITAMINS LABORATORIES INC,CAPSULA BLANDA,A11HA03,A11,A11H,Tocoferol (vit E),DL-ALFA ACETATO DE TOCOFEROL 400.000000 UI,COMP_D4790F9775EF,DL-ALFA ACETATO DE TOCOFEROL,400.0,ui,268,100.0,manual_alias,26.5,PEN,available,https://inkafarma.pe/producto/vitamina-e-400-ui-capsula-blanda/013605,013605,PROCAPS,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/013605X.jpg,card,data/raw/pharmacies/product_images/inkafarma_013605_652479ec5736206a12.jpg,2026-06-30T04:06:53.008020+00:00,algolia_public_search,digemid_match,,,,,true,true,true,true,,,,,,,,,,,verified,2026-06-30T04:25:07+00:00,digemid_composicion+digemid_forma_farmaceutica,flags verificados por campos regulatorios disponibles,verified,high,source_field,component_amount_conversion,,,1.0000,alta,RS informado y trazable;Componente validado contra RS;Precio válido;Disponible en farmacia;Dosis declarada;Etiqueta/fuente verificada;Marca identificada;Match de componente alto
Inkafarma,Colágeno 1500 + Biotina y Vitamina C Cápsulas,Colágeno 1500 + Biotina y Vitamina C Cápsulas,DE3564,DE3564,DE3564,BIOTINA .,MEDIFARMA S.A.,MR GUMMY VITAMINS LLC,PASTILLA DE GOMA,A11HA05,A11,A11H,Biotina,BIOTINA 5.000000 mg,COMP_641FDABDC956,BIOTINA,5.0,mg,5.0,100.0,manual_alias,82.5,PEN,available,https://inkafarma.pe/producto/collagen-1500-plus-biotin-vitamina-c-capsulas/009321,009321,Mason,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/009321X.jpg,card,data/raw/pharmacies/product_images/inkafarma_009321_79c969d050ea036d4d.jpg,2026-06-30T04:06:53.423793+00:00,algolia_public_search,digemid_match,,,,,,,,,,,,,,,,,,,unknown,,,,unknown,high,source_field,component_parser,,,0.9200,alta,RS informado y trazable;Componente validado contra RS;Precio válido;Disponible en farmacia;Dosis declarada;Marca identificada;Match de componente alto
