item,Distribuidor,Producto,Fabricante,composicion_por,Forma Farmacéutica,Procedencia,Liberación,Composición,Vías de Administración,Presentación,codigo_atc,descripcion_clasificacion,grupo_atc_3,grupo_atc_4
DE0238,QUALIPHARM S.R.LTDA.,CREVET 500 mg,PRATER S.A.,COMPRIMIDO,COMPRIMIDO MASTICABLE,CHILE,INMEDIATA,ACIDO ASCORBICO 200.000000 mg ASCORBATO DE SODIO 337.440000 mg,MASTICABLE,"Caja de cartón conteniendo envase blíster de PVC incoloro y aluminio plateado x 8, 16, 32, 50, 64, 96 y 100 comprimidos masticables",A11GA01,Ácido ascórbico (vit C),A11,A11G
DE02495,FARMINDUSTRIA S.A.,VIPLENA,SOFTGEL HEALTHCARE PVT LTD,CAPSULA,CAPSULA BLANDA,INDIA,INMEDIATA,ACIDO FOLICO 1.000000 mg NICOTINAMIDA 8.190000 mg ZINC 0.200000 mg ACIDO EICOSAPENTAENOICO (EPA) 25.000000 mg D-PANTOTENATO DE CALCIO 17.500000 mg CLORHIDRATO DE PIRIDOXINA 1.050000 mg ACIDO DOCOSAHEXAENOICO (PESCADO) 300.000000 mg VITAMINA B2 2.200000 mg COBRE 1.000000 mg MAGNESIO 14.000000 mg MANGANESO 1.000000 mg NITRATO DE TIAMINA 2.500000 mg POTASIO (CITRATO DE POTASIO-FOSFATO MONOPOTASICO) 8.000000 mg SULFATO DE COBALTO 50.000000 MCG VITAMINA A 561.000000 UI ACIDO ASCORBICO 42.000000 mg CIANOCOBALAMINA 1.150000 MCG D-ALFA TOCOFEROL 10.500000 UI VITAMINA D3 440.000000 UI FLUORURO DE SODIO 90.000000 MCG MOLIBDENO 51.000000 MCG,ORAL,"Caja de cartulina con 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 20, 21, 24, 28, 30, 40, 48, 50, 60, 70, 80, 90, 100, 120, 150 y 200 cápsulas blandas en envase blíster de Aluminio-PVC/PVDC incoloro",A11AA02,Multivitamínicos con calcio,A11,A11A
DE0254,BAYER S.A.,BEROCCA PLUS,DELPHARM GAILLARD,COMPRIMIDO,COMPRIMIDO EFERVESCENTE,FRANCIA,INMEDIATA,ACIDO ASCORBICO 500.000000 mg CALCIO 100.000000 mg CIANOCOBALAMINA 0.010000 mg MAGNESIO 100.000000 mg NICOTINAMIDA 50.000000 mg PANTOTENATO DE CALCIO 25.000000 mg CLORHIDRATO DE PIRIDOXINA 10.000000 mg RIBOFLAVINA FOSFATO SODICO DIHIDRATO 20.510000 mg CLORHIDRATO DE TIAMINA 18.540000 mg ZINC 10.000000 mg ACIDO FOLICO 400.000000 MCG BIOTINA 0.150000 mg,ORAL,caja de cartón conteniendo un tubo de aluminio plateado con 10 comprimidos efervescentes; caja de cartón conteniendo un tubo o dos tubos de polipropileno blanco con 10 y 15 comprimidos efervescentes cada uno,A16,OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y METABOLISMO,A16,A16
DE0271,FAES FARMA PERU S.A.C.,POTENCIATOR 5 g,FAES FARMA S.A.,PARCHE,SOLUCION,ESPAÑA,INMEDIATA,ASPARTATO DE ARGININA 5.000000 g,ORAL,"Caja de cartoncillo folding reverso madera con 5, 10, 20, 30, 50 ampollas bebibles color naranja de PVC-PVDC-PE x 10 mL c/u. AMPLIACION DE FORMA DE PRESENTACION EXP 19-063611-1 COMUNICACION Caja de cartoncillo folding reverso madera con 2, 5, 10, 20, 30, 50 ampollas bebibles color naranja de PVC-PVDC-PE x 10 mL c/u.",A16,OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y METABOLISMO,A16,A16
DE0295,BAYER S.A.,SUPRADYN PRONATAL,BAYER S.A.,COMPRIMIDO,COMPRIMIDO RECUBIERTO,ARGENTINA,PROLONGADA,"ACIDO FOLICO 0.800000 mg FOSFATO MONO POTASICO-PIROFOSFATO FERRICO-FOSFATO TRI CALCICO 125.000000 mg MAGNESIO 100.000000 mg MANGANESO 1.000000 mg NICOTINAMIDA 19.000000 mg PANTOTENATO DE CALCIO 10.000000 mg VITAMINA E (TOCOFEROL) 15.000000 mg VITAMINA D3 500.000000 UI ZINC 7.500000 mg VITAMINA A 4,000.000000 UI VITAMINA C 100.000000 mg VITAMINA B1 1.600000 mg VITAMINA B12 4.000000 MCG VITAMINA B2 1.800000 mg VITAMINA B6 2.600000 mg BIOTINA 0.200000 mg CALCIO 125.000000 mg COBRE 1.000000 mg HIERRO 60.000000 mg",ORAL,"Ref.22-115376-1 del 12-10-2022 Caja de cartulina x 8, 10, 20, 30, 50, 60 y 100 comprimidos recubiertos en blister de PVC/PE/PVDC incoloro.- aluminio Caja de cartulina x 8, 10, 20, 30, 50, 60 y 100 comprimidos recubiertos en blister de PVC/PCTFE (ACLAR) incoloro - aluminio plateado.",A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE0334,UNIMED DEL PERU S.A.,TAMIN B NF,PROCAPS S.A.,CAPSULA,CAPSULA BLANDA,COLOMBIA,INMEDIATA,NICOTINAMIDA 50.000000 mg CLORHIDRATO DE PIRIDOXINA 50.000000 mg RIBOFLAVINA 5.000000 mg MONONITRATO DE TIAMINA 25.000000 mg,ORAL,"Caja de cartón x 2, 3, 5, 10, 20, 30, 50, 100, 200, 300 y 500 cápsulas blandas en blíster PVC incoloro y aluminio plateado",A11EA,Vitaminas del complejo B solas,A11,A11E
DE0340,BAYER S.A.,SUPRADYN,BAYER S.A.,GRAGEA,GRAGEA,ARGENTINA,INMEDIATA,"ACIDO FOLICO 1.000000 mg FOSFATO MONO POTASICO-PIROFOSFATO FERRICO-FOSFATO TRI CALCICO 23.800000 mg MAGNESIO 21.200000 mg MANGANESO 0.500000 mg MOLIBDENO 0.100000 mg NICOTINAMIDA 50.000000 mg PANTOTENATO DE CALCIO 11.600000 mg VITAMINA E (TOCOFEROL) 10.000000 mg VITAMINA D3 500.000000 UI ZINC 1.000000 mg VITAMINA A 3,333.000000 UI VITAMINA C 150.000000 mg VITAMINA B1 20.000000 mg VITAMINA B12 5.000000 MCG VITAMINA B6 10.000000 mg BIOTINA 250.000000 MCG CALCIO 51.300000 mg COBRE 1.000000 mg HIERRO 10.000000 mg",ORAL,Caja de carton x 30 grageas en envase blister de PVC/PVDC incoloro - aluminio.,A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE0371,CORPORACION ARION SOCIEDAD ANONIMA CERRADA/CORPORACION ARION S.A.C.,VITAMIN C 1000 mg,MASON VITAMINS INC.,TABLETA,TABLETA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,"ACIDO ASCORBICO 1,000.000000 mg",ORAL,frasco de politereftalato de etileno de color ámbar con tapa de polietileno de baja densidad de color amarillo conteniendo 100 tabletas,A11GA01,Ácido ascórbico (vit C),A11,A11G
DE0376,CORPORACION ARION SOCIEDAD ANONIMA CERRADA/CORPORACION ARION S.A.C.,E 400 IU (180 MG) 400 IU,MASON VITAMINS INC.,CAPSULA,CAPSULA BLANDA,ESTADOS UNIDOS DE AMERICA,,VITAMINA E (TOCOFEROL) 400.000000 UI,ORAL,"Frasco de Poli tereftalato de etileno (PET) color ámbar conteniendo 30, 50, 100 cápsulas blandas",A11HA03,Tocoferol (vit E),A11,A11H
DE0377,CORPORACION ARION SOCIEDAD ANONIMA CERRADA/CORPORACION ARION S.A.C.,E1000 IU (450MG) 1000 UI,MASON VITAMINS INC.,CAPSULA,CAPSULA BLANDA,ESTADOS UNIDOS DE AMERICA,PROLONGADA,"DL-ALFA ACETATO DE TOCOFEROL 1,000.000000 UI",ORAL,"frasco de politereftalato de etileno (PET) color ámbar con tapa de polietileno de baja densidad color amarillo por 50 y 100 cápsulas blandas,",A11HA03,Tocoferol (vit E),A11,A11H
