pharmacy,commercial_name,formal_name,registro_sanitario,price,currency,availability,url,sku,brand,source_strategy,scraped_at,stock,component_text,registro_sanitario_source,component_traceable
Boticas Peru,Redoxon Total Vitamina C%2C D Y Zinc Tubo 1 Un,Redoxon Total Vitamina C%2C D Y Zinc Tubo 1 Un,DE4521,14.60,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_c/redoxon_total_vitamina_c%2C_d_y_zinc__-_tubo_1_un/35895-REDO-T.html,35895-REDO-T,,sfcc_search_update_grid,2026-06-08T00:55:36.669950+00:00,,"S/ 14.60 Redoxon Total Vitamina C, D y Zinc - Tubo 1 UN",digemid_name_inference,true
Boticas Peru,Redoxon Total Vitamina C%2C D Y Zinc Caja 3 Un,Redoxon Total Vitamina C%2C D Y Zinc Caja 3 Un,DE4521,43.80,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_c/redoxon_total_vitamina_c%2C_d_y_zinc__-_caja_3_un/35895-REDO-CAJA.html,35895-REDO-CAJA,,sfcc_search_update_grid,2026-06-08T00:55:36.670521+00:00,,"S/ 43.80 Redoxon Total Vitamina C, D y Zinc - Caja 3 UN",digemid_name_inference,true
Boticas Peru,Vitamina B 12 250 Mcg Frasco 100 Un,Vitamina B 12 250 Mcg Frasco 100 Un,DE3661,56.50,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_b/vitamina_b-12_250_mcg_-_frasco_100_un/16434.html,16434,,sfcc_search_update_grid,2026-06-08T00:55:36.673326+00:00,,S/ 56.50 Vitamina B-12 250 MCG - Frasco 100 UN,digemid_name_inference,true
Boticas Peru,Vitamina B Complex Electrolytes Frasco 60 Un,Vitamina B Complex Electrolytes Frasco 60 Un,DE4229,65.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_b/vitamina_b-complex_electrolytes_-_frasco_60_un/35911.html,35911,,sfcc_search_update_grid,2026-06-08T00:55:36.673871+00:00,,S/ 65.00 Vitamina B-Complex Electrolytes - Frasco 60 UN,digemid_name_inference,true
Boticas Peru,Vitamina D3 50 Mcg Frasco 60 Und,Vitamina D3 50 Mcg Frasco 60 Und,DE3999,51.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_d/vitamina_d3_50_mcg_-_frasco_60_und/38765.html,38765,,sfcc_search_update_grid,2026-06-08T00:55:36.677691+00:00,,S/ 51.90 Vitamina D3 50 MCG - Frasco 60 und,digemid_name_inference,true
Boticas Peru,Triptofano %2B Magnesio Y Vitamina B6 Comprimidos Pote 60 Un,Triptofano %2B Magnesio Y Vitamina B6 Comprimidos Pote 60 Un,DE4606,71.20,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_b/triptofano_%2B_magnesio_y_vitamina_b6_comprimidos_-_pote_60_un/47432.html,47432,,sfcc_search_update_grid,2026-06-08T00:55:36.679375+00:00,,S/ 71.20 Triptófano + Magnesio y Vitamina B6 Comprimidos - Pote 60 UN,digemid_name_inference,true
Boticas Peru,Calcio%2C Magnesio%2C Zinc %26 Vitamina D Frasco 60 Un,Calcio%2C Magnesio%2C Zinc %26 Vitamina D Frasco 60 Un,DE4606,36.50,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_d/calcio%2C_magnesio%2C_zinc_%26_vitamina_d_-_frasco_60_un/43028.html,43028,,sfcc_search_update_grid,2026-06-08T00:55:36.679936+00:00,,"S/ 36.50 Calcio, Magnesio, Zinc & Vitamina D - Frasco 60 UN",digemid_name_inference,true
Boticas Peru,Lisefex Hierro Y Vitamina C Sobres Caja 30 Un,Lisefex Hierro Y Vitamina C Sobres Caja 30 Un,DE4920,111.80,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/lisefex_hierro_y_vitamina_c_sobres_-_caja_30_un/47340.html,47340,,sfcc_search_update_grid,2026-06-08T00:55:36.680489+00:00,,S/ 111.80 Lisefex Hierro Y Vitamina C Sobres - Caja 30 UN,digemid_name_inference,true
Boticas Peru,Vitamina D3 1000 Ui German Energy Tubo 20 Un,Vitamina D3 1000 Ui German Energy Tubo 20 Un,DE3654,14.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_d/vitamina_d3_1000_ui_german_energy_-_tubo_20_un/49144.html,49144,,sfcc_search_update_grid,2026-06-08T00:55:37.044136+00:00,,Precio rebajado de S/ 14.90 a S/ 11.90 -20% Vitamina D3 1000 UI German Energy - Tubo 20 UN,digemid_name_inference,true
Boticas Peru,Triptofano %2B Melatonina %2B Magnesio Y Vitamina B6 Comprimidos Pote 60 Un,Triptofano %2B Melatonina %2B Magnesio Y Vitamina B6 Comprimidos Pote 60 Un,DE4606,75.60,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_b/triptofano_%2B_melatonina_%2B_magnesio_y_vitamina_b6_comprimidos_-_pote_60_un/47433.html,47433,,sfcc_search_update_grid,2026-06-08T00:55:37.045935+00:00,,S/ 75.60 Triptófano + Melatonina + Magnesio y Vitamina B6 Comprimidos - Pote 60 UN,digemid_name_inference,true
Boticas Peru,Polvo Colageno %2B Magnesio Y Vitamina C Pote 350 Gr,Polvo Colageno %2B Magnesio Y Vitamina C Pote 350 Gr,DE4606,159.01,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_c/polvo_colageno_%2B_magnesio_y_vitamina_c_-_pote_350_gr/47436.html,47436,,sfcc_search_update_grid,2026-06-08T00:55:37.047687+00:00,,S/ 159.01 Polvo Colágeno + Magnesio y Vitamina C - Pote 350 Gr,digemid_name_inference,true
Boticas Peru,Polvo Colageno %2B Magnesio Y Vitamina C%2Bb1%2Bb2%2Bb6 Pote 350 Gr,Polvo Colageno %2B Magnesio Y Vitamina C%2Bb1%2Bb2%2Bb6 Pote 350 Gr,DE4606,169.01,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_c/polvo_colageno_%2B_magnesio_y_vitamina_c%2Bb1%2Bb2%2Bb6_-_pote_350_gr/47437.html,47437,,sfcc_search_update_grid,2026-06-08T00:55:37.057082+00:00,,S/ 169.01 Polvo Colágeno + Magnesio y Vitamina C+B1+B2+B6 - Pote 350 Gr,digemid_name_inference,true
Boticas Peru,Rod B Suplemento Nutricional Caja 30 Un,Rod B Suplemento Nutricional Caja 30 Un,DE3638,59.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_b/rod-b_suplemento_nutricional_-_caja_30_un/37871.html,37871,,sfcc_search_update_grid,2026-06-08T00:55:38.199917+00:00,,S/ 59.90 ROD-B Suplemento Nutricional - Caja 30 UN,digemid_name_inference,true
Boticas Peru,Kollplus Max Colageno German Energy Sabor Fresa Tubo 20 Un,Kollplus Max Colageno German Energy Sabor Fresa Tubo 20 Un,DE4433,24.20,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_c/kollplus_max_colageno_german_energy_sabor_fresa_-_tubo_20_un/45483.html,45483,,sfcc_search_update_grid,2026-06-08T00:55:38.578279+00:00,,S/ 24.20 Kollplus Max Colágeno German Energy Sabor Fresa - Tubo 20 UN,digemid_name_inference,true
Boticas Peru,Suplemento Dietetico Biotin Complex Finavida Tabletas Recubiertas Frasco 60 Un,Suplemento Dietetico Biotin Complex Finavida Tabletas Recubiertas Frasco 60 Un,DE2733,45.09,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_a/suplemento_dietetico_biotin_complex_finavida_tabletas_recubiertas_-_frasco_60_un/47131.html,47131,,sfcc_search_update_grid,2026-06-08T00:55:38.580911+00:00,,S/ 45.09 Suplemento Dietético Biotin Complex FinaVida Tabletas Recubiertas - Frasco 60 Un,digemid_name_inference,true
Boticas Peru,Neuroaliv 5000 B1%2Cb6%2Cb12 Capsulas Blandas Caja 60 Un,Neuroaliv 5000 B1%2Cb6%2Cb12 Capsulas Blandas Caja 60 Un,DE4944,168.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_b/neuroaliv_5000_b1%2Cb6%2Cb12_capsulas_blandas_-_caja_60_un/48000-CAJA.html,48000-CAJA,,sfcc_search_update_grid,2026-06-08T00:55:38.952486+00:00,,"S/ 168.00 Neuroaliv 5000 B1,B6,B12 Cápsulas Blandas - Caja 60 UN",digemid_name_inference,true
Boticas Peru,Neuroaliv 5000 B1%2Cb6%2Cb12 Capsulas Blandas Blister 5 Un,Neuroaliv 5000 B1%2Cb6%2Cb12 Capsulas Blandas Blister 5 Un,DE4944,14.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_b/neuroaliv_5000_b1%2Cb6%2Cb12_capsulas_blandas_-_blister_5_un/48000-BLISTER.html,48000-BLISTER,,sfcc_search_update_grid,2026-06-08T00:55:38.954061+00:00,,"S/ 14.00 Neuroaliv 5000 B1,B6,B12 Cápsulas Blandas - Blister 5 UN",digemid_name_inference,true
Boticas Peru,Berocca Plus Multivitaminico Caja 30 Un,Berocca Plus Multivitaminico Caja 30 Un,DE0254,53.10,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/multivitaminicos/berocca_plus_multivitaminico_-_caja_30_un/12136.html,12136,,sfcc_search_update_grid,2026-06-08T00:55:39.343600+00:00,,Precio rebajado de S/ 53.10 a S/ 45.10 -15% Berocca Plus Multivitamínico - Caja 30 UN,digemid_name_inference,true
Boticas Peru,Kolgel Colageno Frasco 30 Capsulas.,Kolgel Colageno Frasco 30 Capsulas.,DE4190,144.89,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/kolgel_colageno_-_frasco_30_capsulas./44753.html,44753,,sfcc_search_update_grid,2026-06-08T00:55:39.349634+00:00,,S/ 144.89 Kolgel Colágeno - Frasco 30 cápsulas.,digemid_name_inference,true
Boticas Peru,Supradyn Multivitaminico Grageas Caja 30 Un,Supradyn Multivitaminico Grageas Caja 30 Un,DE0340,48.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/supradyn_multivitaminico_grageas_-_caja_30_un/08730.html,08730,,sfcc_search_update_grid,2026-06-08T00:55:39.353912+00:00,,Precio rebajado de S/ 48.00 a S/ 40.80 -15% Supradyn Multivitamínico Grageas - Caja 30 UN,digemid_name_inference,true
Boticas Peru,Glicinato De Magnesio Frasco 80 Gr,Glicinato De Magnesio Frasco 80 Gr,DE4606,42.00,PEN,available,https://www.boticasperu.pe/nutricion/productos_naturales/glicinato_de_magnesio_-_frasco_80_gr/47612.html,47612,,sfcc_search_update_grid,2026-06-08T00:55:39.724433+00:00,,S/ 42.00 Glicinato De Magnesio - Frasco 80 Gr,digemid_name_inference,true
Boticas Peru,Citrato De Magnesio Frasco 60 Comprimidos,Citrato De Magnesio Frasco 60 Comprimidos,DE4606,38.10,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/magnesio/citrato_de_magnesio_-_frasco_60_comprimidos/48817.html,48817,,sfcc_search_update_grid,2026-06-08T00:55:39.730443+00:00,,S/ 38.10 Citrato De Magnesio - Frasco 60 Comprimidos,digemid_name_inference,true
Boticas Peru,Zinc 40 Capsulas Frasco 100 Un,Zinc 40 Capsulas Frasco 100 Un,DE4627,35.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/zinc/zinc_40_capsulas_-_frasco_100_un/48262.html,48262,,sfcc_search_update_grid,2026-06-08T00:55:40.097377+00:00,,S/ 35.00 Zinc 40 Cápsulas - Frasco 100 UN,digemid_name_inference,true
