pharmacy,commercial_name,formal_name,registro_sanitario,price,currency,availability,url,sku,brand,source_strategy,scraped_at,stock,component_text,registro_sanitario_source,component_traceable
Farmacia Universal,Mason Vitamina E 400 IU Cápsulas - Frasco 30 und,Mason Vitamina E 400 IU Cápsulas 30 und Precio + Delivery Gratis,DE0376,38.01,PEN,available,https://www.farmaciauniversal.com/mason-vitamina-e-400-iu-capsulas-frasco-30-und/p,5057,Mason Natural,vtex_catalog_search,2026-06-08T00:46:39.188757+00:00,100,/Vitaminas y Suplementos/Vitaminas/Vitamina E/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/349/ /1/343/ /1/ Frasco 30 und DE0376 Dosis: 1 Cápsula Blanda al día. No exceder la dosis diaria recomendada. Este producto no debe utilizarse como sustituto de una dieta equilibrada Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security La vitamina E ayuda a proteger contra el daño celular causado por radicales libres.,vtex_spec_or_regex,true
Farmacia Universal,Mason Vitamina E 400 IU Cápsulas - Frasco 100 und,Mason Vitamina E 400 IU Cápsulas 100 und Precio + Delivery Gratis,DE0376,94.90,PEN,available,https://www.farmaciauniversal.com/mason-vitamina-e-400-iu-capsulas-frasco-100-und/p,5056,Mason Natural,vtex_catalog_search,2026-06-08T00:46:39.188964+00:00,100,/Vitaminas y Suplementos/Vitaminas/Vitamina E/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/349/ /1/343/ /1/ Frasco 100 und DE0376 Dosis: 1 Cápsula Blanda al día. No exceder la dosis recomendada. No debe utilizarse como sustituto de una dieta equilibrada. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security La vitamina E ayuda a proteger contra el daño celular causado por radicales libres.,vtex_spec_or_regex,true
Farmacia Universal,Mason Vitamina A 10000 UI Cápsulas - Frasco 100 und,Mason Vitamina A 10000 UI Cápsulas 100 und Precio + Delivery Gratis,DE1016,50.33,PEN,available,https://www.farmaciauniversal.com/mason-vitamina-a-10000-ui-capsulas-frasco-100-und/p,5052,Mason Natural,vtex_catalog_search,2026-06-08T00:46:39.189181+00:00,100,"/Vitaminas y Suplementos/Vitaminas/Vitamina A/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/345/ /1/343/ /1/ Frasco 100 und DE1016 1 Cápsula Blanda al día. No exceder la dosis recomendada. Un consumo de 25,000 IU por día puede producir hipervitaminosis A. No debe utilizarse como sustituto de una dieta equilibrada. No debe ser consumido por niños menores de 12 años ni por mujeres en estado de gestación o dando de lactar. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security La Vitamina A contribuye a mantener una visión saludable.",vtex_spec_or_regex,true
Farmacia Universal,PG Vitamina E 400 UI Cápsulas Blandas - Caja 30 und,PG Vitamina E 400 UI Cápsulas Blandas 30 und Precio + Delivery Gratis,DE3884,24.90,PEN,available,https://www.farmaciauniversal.com/pg-vitamina-e-400-ui-capsulas-blandas-caja-30-und/p,28100,Pharmagen,vtex_catalog_search,2026-06-08T00:46:39.189729+00:00,100,"/Vitaminas y Suplementos/Vitaminas/Vitamina E/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/349/ /1/343/ /1/ Caja 30 und Vitamina E 400 UI DE3884 Ingerir 1 cápsula al día con agua, preferentemente junto con las comidas, o según lo indique el médico. No exceder la dosis recomendada. Recordar que los suplementos no sustituyen una dieta equilibrada. Mantener fuera del alcance de los niños. Consultar al médico en caso de embarazo, lactancia o si se está en tratamiento con anticoagulantes. Presentación Principio Activo Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Principio Activo Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security PG Vitamina E 400 UI en cápsulas blandas aporta un potente antioxidante que contribuye a proteger las células del daño oxidativo, apoyar la salud de la piel y fortalecer el sistema inmunológico. Su formato en cápsulas blandas facilita la ingesta y la absorción.",vtex_spec_or_regex,true
Farmacia Universal,Drasanvi Omega 3 + Vitamina E Cápsulas - Frasco 100 und,Drasanvi Omega 3 + Vitamina E Cápsulas 100 und Precio + Delivery Gratis,DE3908,65.00,PEN,available,https://www.farmaciauniversal.com/drasanvi-omega-3-vitamina-e-capsulas-frasco-100-und/p,26956,Drasanvi,vtex_catalog_search,2026-06-08T00:46:39.190251+00:00,100,"/Vitaminas y Suplementos/Minerales y Otros/Omega 3/ /Vitaminas y Suplementos/Minerales y Otros/ /Vitaminas y Suplementos/ /1/10/324/ /1/10/ /1/ Frasco 100 und DE3908 Consumir 1 perla al día, preferiblemente con la comida. Complemento Alimenticio a base de aceite de pescado y vitamina e. Los complementos alimenticios no deben utilizarse como sustitutivos de una dieta equilibrada. No superar la dosis diaria expresamente recomendada. Mantener fuera del alcance de los niños más pequeños. Conservar en un lugar fresco y seco. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Las perlas Omega 3 de Drasanvi aportan 180 mg de EPA y 120 mg de DHA por perla. Gracias a su contenido en EPA Y DHA, las perlas Omega 3 de Drasanvi contribuyen al buen funcionamiento del corazón. La vitamina E actual como antioxidante sobre la perla y el cuerpo humano. Sin gluten.",vtex_spec_or_regex,true
Farmacia Universal,Mason Vitamina D3 400 IU Cápsulas - Frasco 100 und,Mason Vitamina D3 400 IU Cápsulas 100 und Precio + Delivery Gratis,DE1010,52.95,PEN,available,https://www.farmaciauniversal.com/mason-vitamina-d3-400-iu-capsulas-frasco-100-und/p,5070,Mason Natural,vtex_catalog_search,2026-06-08T00:46:39.190775+00:00,10,/Vitaminas y Suplementos/Vitaminas/Vitamina D/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/348/ /1/343/ /1/ Frasco 100 und DE1010 Adultos tomar 1 Capsula Blanda al día preferentemente con la comida. No exceder la dosis diaria recomendada. Este producto no debe utilizarse como sustituto de una dieta equilibrada. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security La vitamina D ayuda a formar huesos y dientes fuertes.,vtex_spec_or_regex,true
Farmacia Universal,Drasanvi Vitamina E 400 mg Cápsulas Perlas - Frasco 90 und,Drasanvi Vitamina E 400 mg Cápsulas Perlas 90 und Precio + Delivery Gratis,DE4689,103.90,PEN,available,https://www.farmaciauniversal.com/drasanvi-vitamina-e-400-mg-capsulas-perlas-frasco-90-und/p,29695,Drasanvi,vtex_catalog_search,2026-06-08T00:46:39.190982+00:00,1,"/Vitaminas y Suplementos/Vitaminas/Vitamina E/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/349/ /1/343/ /1/ Frasco 90 und DE4689 Consumir una perla al día, preferiblemente, con la comida. Los complementos alimenticios no deben utilizarse como sustitutivos de una dieta equilibrada. No superar la dosis diaria expresamente recomendada. Mantener fuera del alcance de los niños más pequeños. Conservar en un lugar fresco y seco. Contiene soja. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 0 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Complemento alimenticio a base de vitamina E.",vtex_spec_or_regex,true
Farmacia Universal,Mason Vitamina C 1000 mg Tabletas - Frasco 100 und,Mason Vitamina C 1000 mg Tabletas 100 und Precio + Delivery Gratis,DE0371,66.37,PEN,available,https://www.farmaciauniversal.com/mason-vitamina-c-1000-mg-tabletas-frasco-100-und/p,5054,Mason Natural,vtex_catalog_search,2026-06-08T00:46:39.191186+00:00,100,/Vitaminas y Suplementos/Vitaminas/Vitamina C/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/347/ /1/343/ /1/ Frasco 100 und DE0371 1 Tableta al día. No exceder la dosis diaria recomendada. Este producto no debe utilizarse como sustituto de una dieta equilibrada. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security La vitamina C ayuda a mantener la función inmunológica.,vtex_spec_or_regex,true
Farmacia Universal,Mason Vitamina B12 1000 mcg Tabletas - Frasco 100 und,Mason Vitamina B12 1000 mcg Tabletas 100 und Precio + Delivery Gratis,DE1972,99.90,PEN,available,https://www.farmaciauniversal.com/mason-vitamina-b12-1000-mcg-tabletas-frasco-100-und/p,5050,Mason Natural,vtex_catalog_search,2026-06-08T00:46:39.191394+00:00,100,"/Vitaminas y Suplementos/Vitaminas/Vitamina B/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/346/ /1/343/ /1/ Frasco 100 und DE1972 Adultos. Disolver 1 tableta debajo de la lengua. Tomar a diario preferible con una comida. Debe usarse con precaución en pacientes con antecedentes de cáncer, problemas genitourinarios, gastrointestinales, hematológicos. Las mujeres en estado de gestación o dando de lactar pueden consumirlo solo bajo supervisión médica. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security La vitamina B-12 contribuye al adecuado funcionamiento del sistema nervioso.",vtex_spec_or_regex,true
Farmacia Universal,Mason Vitamina B12 250 mcg Tabletas - Frasco 100 und,Mason Vitamina B12 250 mcg Tabletas 100 und Precio + Delivery Gratis,DE1045,54.90,PEN,available,https://www.farmaciauniversal.com/mason-vitamina-b12-250-mcg-tabletas-frasco-100-und/p,5043,Mason Natural,vtex_catalog_search,2026-06-08T00:46:39.191612+00:00,10,"/Vitaminas y Suplementos/Vitaminas/Vitamina B/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/346/ /1/343/ /1/ Frasco 100 und DE1045 1 Tableta al día, preferible con la comida. No exceder la dosis recomendada. No debe utilizarse como sustituto de una dieta equilibrada. Las mujeres en estado de gestación o dando de lactar pueden consumirlo solo bajo supervisión médica. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security La vitamina B-12 favorece la formación adecuada de glóbulos rojos.",vtex_spec_or_regex,true
