pharmacy,commercial_name,formal_name,registro_sanitario,price,currency,availability,url,sku,brand,source_strategy,scraped_at,stock,component_text,registro_sanitario_source,component_traceable
Inkafarma,Sunvit Vitamin E 400 IU Cápsula Blanda,Sunvit Vitamin E 400 IU Cápsula Blanda,DE2794,58.80,PEN,available,https://inkafarma.pe/producto/sunvit-vitamin-e-400-iu-capsula-blanda/066550,066550,Sunvit,algolia_public_search,2026-06-08T00:46:09.599748+00:00,,Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitaminas para Adultos Vitaminas Vitamina E,digemid_name_inference,true
Inkafarma,Magnesio + Complejo B Vivactiv Tableta Efervescente,Magnesio + Complejo B Vivactiv Tableta Efervescente,DE4606,13.90,PEN,available,https://inkafarma.pe/producto/vivactiv-complejob-efervescente/028971,028971,VIVACTIV,algolia_public_search,2026-06-08T00:46:09.600241+00:00,,"Magnesio 300mgVitamina B1 1.2mgVitamina B2 1.3mgVitamina B6 1.7mgVitamina B12 2.5ugNiacina 16mgÁcido pantoténico 5mgÁcido fólico 400 ugBiotina 30 ugZinc 11mg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Preguntas frecuentes .faq-grid {display: grid;grid-template-columns: repeat(2, 1fr);gap: 16px;margin: 24px 0;}.faq-card {background: #f8f9fa;border: 1px solid #e9ecef;border-radius: 10px;padding: 20px 24px;}.faq-card h3 {font-size: 16px;font-weight: 600;color: #1a1a1a;margin: 0 0 10px;line-height: 1.4;}.faq-card p {font-size: 14px;color: #555;margin: 0;line-height: 1.7;}@media (max-width: 600px) {.faq-grid { grid-template-columns: 1fr; }} ¿Qué vitaminas contiene Vivactiv Complejo B Efervescente? Este producto contiene vitaminas del complejo B en presentación efervescente para consumo oral. ¿Cómo se presenta el complejo B efervescente? La presentación corresponde a tabletas efervescentes que deben disolverse en agua antes de ingerirse. ¿Cómo se consume Vivactiv Complejo B Efervescente? Las tabletas deben disolverse completamente en agua antes de su consumo. La administración debe seguir las indicaciones del etiquetado. ¿Qué es el complejo B en suplementos vitamínicos? El complejo B agrupa vitaminas hidrosolubles utilizadas en suplementos nutricionales de administración oral. Minerales Cupón INKA20 Vitaminas Suplementos y Vitaminas Lo más Buscado en Citrato y Glicinato de Magnesio Magnesio Vitamina B",digemid_name_inference,true
Inkafarma,Sunvit Vitamin A 10000 UI Cápsula blanda,Sunvit Vitamin A 10000 UI Cápsula blanda,DE4079,29.50,PEN,available,https://inkafarma.pe/producto/sunvit-vitamin-a-10000-ui-capsula-blanda/037805,037805,SUNVIT,algolia_public_search,2026-06-08T00:46:09.600598+00:00,,"Vitamina A ( Palmitato de retinol ) 10,000 UI Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitaminas Vitamina A",digemid_name_inference,true
Inkafarma,Vitamina E 1000 UI Cápsula Blanda,Vitamina E 1000 UI Cápsula Blanda,DE0825,56.50,PEN,available,https://inkafarma.pe/producto/vitamina-e-1000-ui-capsula-blanda/070653,070653,VITAMINA E,algolia_public_search,2026-06-08T00:46:09.601869+00:00,,"Cada cápsula blanda contiene: Vitamina E DL-Alfatocoferil Acetato (Vitamina E Sintética) equivalente a Vitamina E. 1000 U.I. Excipientes: Glicerina, otros c.s. Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Una dieta que contenga ácidos grasos omega puede resultar muy beneficiosa. Los aceites derivados de alimentos ricos en omega, como el pescado, aportan una amplia variedad de nutrientes naturales. Para quienes no disfrutan del pescado en su dieta, recurrir a un suplemento de omega de origen vegetal es una excelente manera de incorporar nutrientes beneficiosos a su día. Las gomitas Omega 3-6-7-9 proporcionan una fuente libre de pescado de ácidos grasos omega 3, 6, 7 y 9 naturales. Dos gomitas veganas aportan 360 mg de un complejo omega de origen vegetal que consta de aceite de linaza orgánico y aceite de fruto de espino amarillo. Vitaminas Vitamina E",digemid_name_inference,true
Inkafarma,Hierro + Vitamina C Vitamins For Life Tableta Efervescente Sabor Cereza,Hierro + Vitamina C Vitamins For Life Tableta Efervescente Sabor Cereza,DE2095,15.90,PEN,available,https://inkafarma.pe/producto/iron-vitamina-c-tableta-efervescente/011029,011029,VITAMINS FOR LIFE,algolia_public_search,2026-06-08T00:46:09.602443+00:00,,"Hierro 14mg Vitamina C 75mg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Hierro + vitamina C suplemento nutricional efervescente sin preservantes, sin azúcar, sin gluten, sin lactosa. Hecho en Alemania. Preguntas frecuentes .faq-grid { display: grid; grid-template-columns: repeat(2, 1fr); gap: 16px; margin: 24px 0; } .faq-card { background: #f8f9fa; border: 1px solid #e9ecef; border-radius: 10px; padding: 20px 24px; } .faq-card h3 { font-size: 16px; font-weight: 600; color: #1a1a1a; margin: 0 0 10px; line-height: 1.4; } .faq-card p { font-size: 14px; color: #555; margin: 0; line-height: 1.7; } @media (max-width: 600px) { .faq-grid { grid-template-columns: 1fr; } } ¿Qué contiene Iron Vitamina C efervescente? Este producto combina hierro y vitamina C en tabletas efervescentes para consumo oral. Ambos componentes forman parte de suplementos nutricionales. ¿Qué diferencia tiene una tableta efervescente? Las tabletas efervescentes se disuelven en agua antes de su consumo. Este formato es utilizado en suplementos y vitaminas de administración oral. ¿Cómo se consume una vitamina efervescente con hierro? La tableta debe disolverse completamente en agua antes de ingerirse. La forma de consumo debe seguir las indicaciones señaladas en el envase. ¿Qué función tiene la vitamina C en suplementos con hierro? La vitamina C es un nutriente hidrosoluble presente en distintas formulaciones nutricionales y suplementos vitamínicos de administración oral. Minerales Vitaminas y Suplementos Vitaminas Hierro Vitamina C",digemid_name_inference,true
Inkafarma,Sunvit Vitamin D 2000 IU Tableta,Sunvit Vitamin D 2000 IU Tableta,DE3869,59.90,PEN,available,https://inkafarma.pe/producto/sunvit-vitamin-d-2000-iu-tableta/005570,005570,SUNVIT,algolia_public_search,2026-06-08T00:46:09.605599+00:00,,Vitamina D3 50mcg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Cupón INKA20 Vitaminas Vitamina D,digemid_name_inference,true
Inkafarma,Calcio + Vitamina D3 Tableta Efervescente Sabor Naranja / Toronja,Calcio + Vitamina D3 Tableta Efervescente Sabor Naranja / Toronja,DE4027,15.90,PEN,available,https://inkafarma.pe/producto/calcio-vitamina-d3-tabletas-efervescentes/024297,024297,VITAMINS FOR LIFE,algolia_public_search,2026-06-08T00:46:09.605820+00:00,,Calcio 500mg |Vitamina D3 2.5ug Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitaminas Vitamina D,digemid_name_inference,true
Inkafarma,Colágeno 1500 + Biotina y Vitamina C Cápsulas,Colágeno 1500 + Biotina y Vitamina C Cápsulas,DE3564,84.50,PEN,available,https://inkafarma.pe/producto/collagen-1500-plus-biotin-vitamina-c-capsulas/009321,009321,Mason,algolia_public_search,2026-06-08T00:46:09.608143+00:00,,"Colágeno hidrolizado 500 mg Biotina 1% 800 mcg Ácido ascórbico (Vitamina C 99%) 50 mg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) El colágeno hidrolizado es fuente de aminoácidos esenciales (histidina, isoleucina, leucina, lisina, metionina, fenilalanina, treonina, valina) para el mantenimiento de una buena salud (involucrados en la síntesis de proteínas). El colágeno es uno de los componentes de la piel, cartílago y los huesos, su consumo podría ayudar a ciertas condiciones de la piel y las articulaciones. Con colágeno hidrolizado en cápsulas .Con 800 mcg de biotina y 50 mg de vitamina C. Sin leche, trigo, soya, frutos secos, maní, pescado, huevo, mariscos crustáceos Libre de gluten. Producto Americano Suplementos Nutricionales Suplementos y Vitaminas Busca tu Marca de Colágeno Ideal Colágenos",digemid_name_inference,true
Inkafarma,Pack 02 Sunvit Vitamin D 2000 IU Tableta,Pack 02 Sunvit Vitamin D 2000 IU Tableta,DE3869,115.30,PEN,available,https://inkafarma.pe/producto/pack-02-sunvit-vitamin-d-2000-iu-tableta/PACKNT395,PACKNT395,SUNVIT,algolia_public_search,2026-06-08T00:46:09.616601+00:00,,Vitamina D3 50mcg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitaminas Packs de Nutrición y Bienestar Vitamina D,digemid_name_inference,true
Inkafarma,Pack Sunvit Vitamin D 2000 IU Tableta,Pack Sunvit Vitamin D 2000 IU Tableta,DE3869,115.30,PEN,available,https://inkafarma.pe/producto/pack-sunvit-vitamin-d-2000-iu-tableta/PACKNT216,PACKNT216,SUNVIT,algolia_public_search,2026-06-08T00:46:09.616719+00:00,,Vitamina D3 50mcg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitaminas Packs de Nutrición y Bienestar Vitamina D,digemid_name_inference,true
