pharmacy,commercial_name,formal_name,registro_sanitario,price,currency,availability,url,sku,brand,source_strategy,scraped_at,stock,component_text,registro_sanitario_source,component_traceable,component_ids_detected,component_names_detected
Farmacia Universal,Propiel Vitamina C 10% Serum - Frasco 50 ml,Propiel Vitamina C 10% Serum 50 ml Precio + Delivery Gratis,,130.00,PEN,available,https://www.farmaciauniversal.com/propiel-vitamina-c-10-serum-frasco-50-ml/p,29686,Propiel,vtex_catalog_search,2026-06-08T01:11:58.699580+00:00,1,"/Dermocosmética/Serums y Ampollas/Antiedad/ /Dermocosmética/Serums y Ampollas/ /Dermocosmética/ /6/174/197/ /6/174/ /6/ Frasco 50 ml NSOC6308024PE Lavarse bien el rostro con agua fría. Toma unas gotas de Propiel Serum y aplícalo uniformemente en rostro y cuello. Deja pasar 3 a 5minutos hasta que se absorba todo el producto en tu piel. Aplica una crema hidratante y realiza masajes de forma ascendente. Finalmente utiliza un buen bloqueador y listo. No usar en piel irritada, con heridas abiertas o si presenta alergia a alguno de los ingredientes. Evitar el contacto con los ojos y suspender su uso en caso de enrojecimiento o irritación. No combinar con retinol o ácidos exfoliantes fuertes. Mantener fuera del alcance de los niños y almacenar en un lugar fresco y oscuro. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 0 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Ilumina y revitaliza tu rostro con nuestro sérum de vitamina C al 10%. Combate las manchas, unifica el tono y estimula la producción de colágeno para una piel más radiante y joven.",,true_component_name_no_rs,COMP_42698C2988A1;COMP_90C4121BAE0C,retinol;RETINOL 2
Farmacia Universal,Mason Vitamina E 400 IU Cápsulas - Frasco 30 und,Mason Vitamina E 400 IU Cápsulas 30 und Precio + Delivery Gratis,DE0376,38.01,PEN,available,https://www.farmaciauniversal.com/mason-vitamina-e-400-iu-capsulas-frasco-30-und/p,5057,Mason Natural,vtex_catalog_search,2026-06-08T01:11:58.699874+00:00,100,/Vitaminas y Suplementos/Vitaminas/Vitamina E/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/349/ /1/343/ /1/ Frasco 30 und DE0376 Dosis: 1 Cápsula Blanda al día. No exceder la dosis diaria recomendada. Este producto no debe utilizarse como sustituto de una dieta equilibrada Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security La vitamina E ayuda a proteger contra el daño celular causado por radicales libres.,vtex_spec_or_regex,true_rs_component,,
Farmacia Universal,Mason Vitamina E 400 IU Cápsulas - Frasco 100 und,Mason Vitamina E 400 IU Cápsulas 100 und Precio + Delivery Gratis,DE0376,94.90,PEN,available,https://www.farmaciauniversal.com/mason-vitamina-e-400-iu-capsulas-frasco-100-und/p,5056,Mason Natural,vtex_catalog_search,2026-06-08T01:11:58.700082+00:00,100,/Vitaminas y Suplementos/Vitaminas/Vitamina E/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/349/ /1/343/ /1/ Frasco 100 und DE0376 Dosis: 1 Cápsula Blanda al día. No exceder la dosis recomendada. No debe utilizarse como sustituto de una dieta equilibrada. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security La vitamina E ayuda a proteger contra el daño celular causado por radicales libres.,vtex_spec_or_regex,true_rs_component,,
Farmacia Universal,Mason Vitamina A 10000 UI Cápsulas - Frasco 100 und,Mason Vitamina A 10000 UI Cápsulas 100 und Precio + Delivery Gratis,DE1016,50.33,PEN,available,https://www.farmaciauniversal.com/mason-vitamina-a-10000-ui-capsulas-frasco-100-und/p,5052,Mason Natural,vtex_catalog_search,2026-06-08T01:11:58.700298+00:00,100,"/Vitaminas y Suplementos/Vitaminas/Vitamina A/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/345/ /1/343/ /1/ Frasco 100 und DE1016 1 Cápsula Blanda al día. No exceder la dosis recomendada. Un consumo de 25,000 IU por día puede producir hipervitaminosis A. No debe utilizarse como sustituto de una dieta equilibrada. No debe ser consumido por niños menores de 12 años ni por mujeres en estado de gestación o dando de lactar. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security La Vitamina A contribuye a mantener una visión saludable.",vtex_spec_or_regex,true_rs_component,,
Farmacia Universal,PG Vitamina E 400 UI Cápsulas Blandas - Caja 30 und,PG Vitamina E 400 UI Cápsulas Blandas 30 und Precio + Delivery Gratis,DE3884,24.90,PEN,available,https://www.farmaciauniversal.com/pg-vitamina-e-400-ui-capsulas-blandas-caja-30-und/p,28100,Pharmagen,vtex_catalog_search,2026-06-08T01:11:58.700884+00:00,100,"/Vitaminas y Suplementos/Vitaminas/Vitamina E/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/349/ /1/343/ /1/ Caja 30 und Vitamina E 400 UI DE3884 Ingerir 1 cápsula al día con agua, preferentemente junto con las comidas, o según lo indique el médico. No exceder la dosis recomendada. Recordar que los suplementos no sustituyen una dieta equilibrada. Mantener fuera del alcance de los niños. Consultar al médico en caso de embarazo, lactancia o si se está en tratamiento con anticoagulantes. Presentación Principio Activo Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Principio Activo Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security PG Vitamina E 400 UI en cápsulas blandas aporta un potente antioxidante que contribuye a proteger las células del daño oxidativo, apoyar la salud de la piel y fortalecer el sistema inmunológico. Su formato en cápsulas blandas facilita la ingesta y la absorción.",vtex_spec_or_regex,true_rs_component,,
Farmacia Universal,Aquamarine Loción Corporal Vitamina A + Colágeno - Frasco 437 ml,Aquamarine Loción Corporal Vitamina A + Colágeno 437 ml Precio + Delivery Gratis,,20.25,PEN,available,https://www.farmaciauniversal.com/aquamarine-locion-corporal-vitamina-a-colageno-frasco-437-ml/p,364,Revlon,vtex_catalog_search,2026-06-08T01:11:58.701158+00:00,10,"/Dermocosmética/Cuidado Corporal/Hidratantes Corporales/ /Dermocosmética/Cuidado Corporal/ /Dermocosmética/ /6/175/202/ /6/175/ /6/ Frasco 437 ml NSOC6596424PE Aplicar generosamente sobre la piel limpia, preferentemente después del baño o la ducha, distribuyendo de manera uniforme en todo el cuerpo hasta su absorción. Evitar el contacto con los ojos. En caso de presentar irritación, suspender su uso. Uso externo. Mantener fuera del alcance de los niños. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Aquamarine Loción Corporal Vitamina A + Colágeno es una loción formulada con humectantes como vitamina A y colágeno, diseñada para complementar la hidratación diaria de la piel. Su fórmula no grasa se absorbe con facilidad y está orientada a mejorar la apariencia de la piel seca, aportando suavidad y ayudando a mantener la hidratación. Puede integrarse en la rutina diaria para el cuidado de la piel expuesta a factores ambientales, contribuyendo a una sensación de confort y aspecto saludable.",,true_component_name_no_rs,COMP_4289B9E4461E,RUTINA
Farmacia Universal,Drasanvi Omega 3 + Vitamina E Cápsulas - Frasco 100 und,Drasanvi Omega 3 + Vitamina E Cápsulas 100 und Precio + Delivery Gratis,DE3908,65.00,PEN,available,https://www.farmaciauniversal.com/drasanvi-omega-3-vitamina-e-capsulas-frasco-100-und/p,26956,Drasanvi,vtex_catalog_search,2026-06-08T01:11:58.701482+00:00,100,"/Vitaminas y Suplementos/Minerales y Otros/Omega 3/ /Vitaminas y Suplementos/Minerales y Otros/ /Vitaminas y Suplementos/ /1/10/324/ /1/10/ /1/ Frasco 100 und DE3908 Consumir 1 perla al día, preferiblemente con la comida. Complemento Alimenticio a base de aceite de pescado y vitamina e. Los complementos alimenticios no deben utilizarse como sustitutivos de una dieta equilibrada. No superar la dosis diaria expresamente recomendada. Mantener fuera del alcance de los niños más pequeños. Conservar en un lugar fresco y seco. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Las perlas Omega 3 de Drasanvi aportan 180 mg de EPA y 120 mg de DHA por perla. Gracias a su contenido en EPA Y DHA, las perlas Omega 3 de Drasanvi contribuyen al buen funcionamiento del corazón. La vitamina E actual como antioxidante sobre la perla y el cuerpo humano. Sin gluten.",vtex_spec_or_regex,true_rs_component,COMP_F9E1B8CF7D0E;COMP_041D8FEFC15D;COMP_69A245173CEA;COMP_EA8C1C7141D8;COMP_EF971D606F57,Omega-3;Omega-5;Omega-6;Omega-7;Omega-9
Farmacia Universal,Mason Vitamina K2 + D3 Tabletas - Frasco 60 und,Mason Vitamina K2 + D3 Tabletas 60 und Precio + Delivery Gratis,,74.90,PEN,available,https://www.farmaciauniversal.com/mason-vitamina-k2-d3-tabletas-frasco-60-und/p,31267,Mason Natural,vtex_catalog_search,2026-06-08T01:11:58.701770+00:00,100,"/Vitaminas y Suplementos/Multivitamínicos/Osteoarticulares/ /Vitaminas y Suplementos/Multivitamínicos/ /Vitaminas y Suplementos/ /1/344/354/ /1/344/ /1/ Frasco 60 und Vitamina K2 100 mcg, Calcio 34 mg, Vitamina D3 25 mcg DE5515 Tomar 1 tableta al día, preferiblemente con alimentos. No exceder la dosis diaria recomendada. Este producto no debe utilizarse como sustituto de una dieta equilibrada. Si está embarazada, en periodo de lactancia, tomando alguna medicación o tiene alguna condición médica, consulte a su médico antes de tomar este producto. Presentación Principio Activo Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Principio Activo Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Mason Vitamina K2 + D3 es suplemento que está diseñado para aportar vitamina D3 y vitamina K2, dos nutrientes que trabajan de manera complementaria en el metabolismo del calcio. La vitamina D3 favorece la absorción de calcio a nivel intestinal, mientras que la vitamina K2 contribuye a su adecuada distribución en el organismo, evitando su acumulación en los tejidos inadecuados. Su consumo regular puede ser un aliado en el cuidado de los huesos, dientes y la función cardiovascular dentro de una dieta balanceada.",,true_component_name_no_rs,COMP_275450118D60;COMP_94DFE28A9A5C,CALCIO;VITAMINA D3
Farmacia Universal,Mason Vitamina D3 400 IU Cápsulas - Frasco 100 und,Mason Vitamina D3 400 IU Cápsulas 100 und Precio + Delivery Gratis,DE1010,52.95,PEN,available,https://www.farmaciauniversal.com/mason-vitamina-d3-400-iu-capsulas-frasco-100-und/p,5070,Mason Natural,vtex_catalog_search,2026-06-08T01:11:58.701976+00:00,10,/Vitaminas y Suplementos/Vitaminas/Vitamina D/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/348/ /1/343/ /1/ Frasco 100 und DE1010 Adultos tomar 1 Capsula Blanda al día preferentemente con la comida. No exceder la dosis diaria recomendada. Este producto no debe utilizarse como sustituto de una dieta equilibrada. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security La vitamina D ayuda a formar huesos y dientes fuertes.,vtex_spec_or_regex,true_rs_component,COMP_94DFE28A9A5C,VITAMINA D3
Farmacia Universal,Drasanvi Vitamina E 400 mg Cápsulas Perlas - Frasco 90 und,Drasanvi Vitamina E 400 mg Cápsulas Perlas 90 und Precio + Delivery Gratis,DE4689,103.90,PEN,available,https://www.farmaciauniversal.com/drasanvi-vitamina-e-400-mg-capsulas-perlas-frasco-90-und/p,29695,Drasanvi,vtex_catalog_search,2026-06-08T01:11:58.702187+00:00,1,"/Vitaminas y Suplementos/Vitaminas/Vitamina E/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/349/ /1/343/ /1/ Frasco 90 und DE4689 Consumir una perla al día, preferiblemente, con la comida. Los complementos alimenticios no deben utilizarse como sustitutivos de una dieta equilibrada. No superar la dosis diaria expresamente recomendada. Mantener fuera del alcance de los niños más pequeños. Conservar en un lugar fresco y seco. Contiene soja. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 0 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Complemento alimenticio a base de vitamina E.",vtex_spec_or_regex,true_rs_component,,
