pharmacy,commercial_name,formal_name,registro_sanitario,price,currency,availability,url,sku,brand,source_strategy,scraped_at,stock,component_text,registro_sanitario_source,component_traceable,component_ids_detected,component_names_detected
Hogar y Salud,Triptófano con Melatonina + Magnesio y Vitamina B6 – Frasco 60 UN,Triptófano con Melatonina + Magnesio y Vitamina B6 – Frasco 60 UN,DE3979,91.50,PEN,available,https://www.hogarysalud.com.pe/producto/triptofano-con-melatonina-magnesio-y-vitamina-b6-fraco-60-un/,00219111,,woocommerce_store_api,2026-06-08T01:15:07.527979+00:00,,"Triptófano con Melatonina + Magnesio y Vitamina B6 – Frasco 60 UN FRASCO 60 UN Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033) Complemento nutricional en base a L-Triptófano con Melatonina + Magnesio y Vitamina B6 es un complemento alimenticio que contribuye a mejorar el descanso y el ritmo circadiano natural del cuerpo y de la mente. Es una combinación ideal para el descanso puesto que no solo es una fuente de aporte directo de melatonina exógena, sino que además al combinarlo con el triptófano, el magnesio y la vitamina B6 se estimula la síntesis de serotonina y melatonina endógena. Además, la melatonina también estimula la producción de la hormona del crecimiento, tiene propiedades antioxidantes y neuro protectoras, mejora la calidad del sueño y refuerza el sistema inmunológico, la combinación con triptófano ayuda a la producción de ésta dentro del cuerpo.",digemid_name_inference,true_rs_component,COMP_83336712C554;COMP_74AC5BE900AC;COMP_FB0BFF3E6E21,MAGNESIO;MELATONINA;VITAMINA B6
Hogar y Salud,Triptófano con Magnesio + Vitamina B6 – Frasco 60 UN,Triptófano con Magnesio + Vitamina B6 – Frasco 60 UN,DE4606,86.00,PEN,available,https://www.hogarysalud.com.pe/producto/triptofano-con-magnesio-vitamina-b6-fraco-60-un/,00219112,,woocommerce_store_api,2026-06-08T01:15:07.528365+00:00,,"Triptófano con Magnesio + Vitamina B6 – Frasco 60 UN FRASCO 60 UN Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033) Complemento nutricional en base a L-triptófano con magnesio + vitamina B6. El L-triptófano es precursor de serotonina (calma, regula el humor, el apetito, el estrés, el sueño) y melatonina (sueño); el magnesio y la B6 contribuyen a disminuir el cansancio y la fatiga, y favorecen el funcionamiento del sistema nervioso, función psicológica y metabolismo energético, además de regular la actividad hormonal, metabolismo de proteínas y glúcido, y formación de glóbulos rojos",digemid_name_inference,true_rs_component,COMP_83336712C554;COMP_74AC5BE900AC;COMP_FB0BFF3E6E21,MAGNESIO;MELATONINA;VITAMINA B6
Hogar y Salud,"Isoflavonas, Magnesio + Vitamina E – Frasco 30 UN","Isoflavonas, Magnesio + Vitamina E – Frasco 30 UN",DE4606,96.90,PEN,available,https://www.hogarysalud.com.pe/producto/isoflavonas-magnesio-vitamina-e-fraco-30-un/,00219114,,woocommerce_store_api,2026-06-08T01:15:07.528687+00:00,,"Isoflavonas, Magnesio + Vitamina E – Frasco 30 UN FRASCO 30 UN Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033) Complemento nutricional en base a Isoflavonas con Magnesio + Vitamina E. Conjunto de sustancias de origen vegetal a las que se les atribuye similitudes funcionales a los estrógenos, por lo que son aconsejables en la menopausia. Es ideal para equilibrar los cambios hormonales típicos de la menopausia y atenuar sus síntomas (sofocos, sudoración excesiva, sequedad de mucosas, ansiedad, entre otros).",digemid_name_inference,true_rs_component,COMP_83336712C554,MAGNESIO
Hogar y Salud,Aceite de Onagra + Vitamina E – Frasco 80 UN,Aceite de Onagra + Vitamina E – Frasco 80 UN,DE4623,116.00,PEN,available,https://www.hogarysalud.com.pe/producto/aceite-de-onagra-vitamina-e-frasco-80-un/,00219115,,woocommerce_store_api,2026-06-08T01:15:07.528943+00:00,,"Aceite de Onagra + Vitamina E – Frasco 80 UN FRASCO 80 UN Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033) Complemento nutricional en base a Aceite de Onagra + Vitamina E. Ideal para aliviar los síntomas del síndrome premenstrual (dolor, hinchazón, mastalgia, etc.). La vitamina E contribuye a la protección de las células frente al daño oxidativo.",digemid_name_inference,true_rs_component,,
Hogar y Salud,Pack 02 Tabletas Efervescentes Multivitaminas + Biotina Sabor Naranja – Tubo 20 UN – Duopack,Pack 02 Tabletas Efervescentes Multivitaminas + Biotina Sabor Naranja – Tubo 20 UN – Duopack,DE3564,27.90,PEN,available,https://www.hogarysalud.com.pe/producto/multivitaminas-biotina-tabletas-efervescentes-sabor-naranja-tubo-20-un-duopack/,00216833,,woocommerce_store_api,2026-06-08T01:15:07.529448+00:00,,Pack 02 Tabletas Efervescentes Multivitaminas + Biotina Sabor Naranja – Tubo 20 UN – Duopack DUOPACK Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033),digemid_name_inference,true_rs_component,COMP_641FDABDC956,BIOTINA 10
Hogar y Salud,Pack 02 Tabletas Efervescentes Calcio + Vitamina D3 – Tubo 20 UN,Pack 02 Tabletas Efervescentes Calcio + Vitamina D3 – Tubo 20 UN,DE4027,30.40,PEN,available,https://www.hogarysalud.com.pe/producto/pack-02-german-energy-calcio-vitamina-d3-tabletas-efervescentes-tubo-20-un/,00216363,,woocommerce_store_api,2026-06-08T01:15:07.529868+00:00,,Pack 02 Tabletas Efervescentes Calcio + Vitamina D3 – Tubo 20 UN DUOPACK Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033),digemid_name_inference,true_rs_component,COMP_275450118D60;COMP_94DFE28A9A5C,CALCIO;VITAMINA D3
Hogar y Salud,Colagevid Colágeno Hidrolizado + Biotina + Vitamina C + Vitamina E – Caja 30 SOBRES,Colagevid Colágeno Hidrolizado + Biotina + Vitamina C + Vitamina E – Caja 30 SOBRES,DE3564,3.50,PEN,available,https://www.hogarysalud.com.pe/producto/colagevid-colageno-hidrolizado-biotina-vitamina-c-vitamina-e-caja-30-sobres/,00216171,,woocommerce_store_api,2026-06-08T01:15:07.530243+00:00,,Colagevid Colágeno Hidrolizado + Biotina + Vitamina C + Vitamina E – Caja 30 SOBRES CAJA 30 UN / 1 UN Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033),digemid_name_inference,true_rs_component,COMP_641FDABDC956,BIOTINA
Hogar y Salud,German Energy Calcio + Vitamina D3 Tabletas Efervescentes – Tubo 20 UN,German Energy Calcio + Vitamina D3 Tabletas Efervescentes – Tubo 20 UN,DE4027,16.90,PEN,available,https://www.hogarysalud.com.pe/producto/german-energy-calcio-vitamina-d3-tabletas-efervescentes-tubo-20-un/,00216242,,woocommerce_store_api,2026-06-08T01:15:07.530624+00:00,,German Energy Calcio + Vitamina D3 Tabletas Efervescentes – Tubo 20 UN TUBO 20 UN Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033),digemid_name_inference,true_rs_component,COMP_275450118D60;COMP_94DFE28A9A5C,CALCIO;VITAMINA D3
Hogar y Salud,Shampoo VIALE Aloe Vera y Pro Vitamina B5 – Frasco 1000 ML,Shampoo VIALE Aloe Vera y Pro Vitamina B5 – Frasco 1000 ML,DE3502,12.50,PEN,available,https://www.hogarysalud.com.pe/producto/shampoo-viale-aloe-vera-y-pro-vitamina-b5-frasco-1000-ml/,00203689,,woocommerce_store_api,2026-06-08T01:15:07.530881+00:00,,Shampoo VIALE Aloe Vera y Pro Vitamina B5 – Frasco 1000 ML FRASCO 1000 ML Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033) Cuida tu cabello y engríelo con los sahampoo de Vialé. Gracias a su contenido de seda hace que lo natural quede y se note sobre tu cabello dejándolo limpio y sedoso. Observa los resultados después de 1 semana de uso diario.,digemid_name_inference,true_rs_component,COMP_929F7F7041E0;COMP_CCEF1C481D8D,Aloe vera;VITAMINA B5
Hogar y Salud,Hierro + Vitamina C German Energy Sabor Frutos Rojos – Tubo 20 UN,Hierro + Vitamina C German Energy Sabor Frutos Rojos – Tubo 20 UN,DE4431,16.90,PEN,available,https://www.hogarysalud.com.pe/producto/hierro-vitamina-c-german-energy-sabor-frutos-rojos-tubo-20-un/,00215196,,woocommerce_store_api,2026-06-08T01:15:07.532921+00:00,,Hierro + Vitamina C German Energy Sabor Frutos Rojos – Tubo 20 UN TUBO 20 UN Comercializado por Corporation Intherpharma S.A.C RUC: 20515774182 (Ley 32033),digemid_name_inference,true_rs_component,COMP_B6A8F8958154,HIERRO
