pharmacy,commercial_name,formal_name,registro_sanitario,price,currency,availability,url,sku,brand,source_strategy,scraped_at,stock,component_text,registro_sanitario_source,component_traceable,component_ids_detected,component_names_detected
Inkafarma,Sunvit Vitamin E 400 IU Cápsula Blanda,Sunvit Vitamin E 400 IU Cápsula Blanda,DE2794,58.80,PEN,available,https://inkafarma.pe/producto/sunvit-vitamin-e-400-iu-capsula-blanda/066550,066550,Sunvit,algolia_public_search,2026-06-08T01:09:22.517962+00:00,,Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitaminas para Adultos Vitaminas Vitamina E,digemid_name_inference,true_rs_component,,
Inkafarma,Magnesio + Complejo B Vivactiv Tableta Efervescente,Magnesio + Complejo B Vivactiv Tableta Efervescente,DE4606,13.90,PEN,available,https://inkafarma.pe/producto/vivactiv-complejob-efervescente/028971,028971,VIVACTIV,algolia_public_search,2026-06-08T01:09:22.518425+00:00,,"Magnesio 300mgVitamina B1 1.2mgVitamina B2 1.3mgVitamina B6 1.7mgVitamina B12 2.5ugNiacina 16mgÁcido pantoténico 5mgÁcido fólico 400 ugBiotina 30 ugZinc 11mg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Preguntas frecuentes .faq-grid {display: grid;grid-template-columns: repeat(2, 1fr);gap: 16px;margin: 24px 0;}.faq-card {background: #f8f9fa;border: 1px solid #e9ecef;border-radius: 10px;padding: 20px 24px;}.faq-card h3 {font-size: 16px;font-weight: 600;color: #1a1a1a;margin: 0 0 10px;line-height: 1.4;}.faq-card p {font-size: 14px;color: #555;margin: 0;line-height: 1.7;}@media (max-width: 600px) {.faq-grid { grid-template-columns: 1fr; }} ¿Qué vitaminas contiene Vivactiv Complejo B Efervescente? Este producto contiene vitaminas del complejo B en presentación efervescente para consumo oral. ¿Cómo se presenta el complejo B efervescente? La presentación corresponde a tabletas efervescentes que deben disolverse en agua antes de ingerirse. ¿Cómo se consume Vivactiv Complejo B Efervescente? Las tabletas deben disolverse completamente en agua antes de su consumo. La administración debe seguir las indicaciones del etiquetado. ¿Qué es el complejo B en suplementos vitamínicos? El complejo B agrupa vitaminas hidrosolubles utilizadas en suplementos nutricionales de administración oral. Minerales Cupón INKA20 Vitaminas Suplementos y Vitaminas Lo más Buscado en Citrato y Glicinato de Magnesio Magnesio Vitamina B",digemid_name_inference,true_rs_component,COMP_83336712C554;COMP_06B36D3A8FF3;COMP_FB0BFF3E6E21,MAGNESIO;VITAMINA B2;VITAMINA B6
Inkafarma,Sunvit Vitamin E 400 IU Cápsula Blanda,Sunvit Vitamin E 400 IU Cápsula Blanda,DE2794,28.40,PEN,available,https://inkafarma.pe/producto/sunvit-vitamin-e-400-iu-capsula-blanda/037783,037783,SUNVIT,algolia_public_search,2026-06-08T01:09:22.518624+00:00,,Cada cápsula blanda contiene: Vitamina E 400 UI (como acetato de dl-alfa tocoferilo).....180 mg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitaminas Vitamina E,digemid_name_inference,true_rs_component,COMP_90C4121BAE0C;COMP_D4790F9775EF,ACETATO DE VITAMINA A;DL-ALFA ACETATO DE TOCOFERILO
Inkafarma,Sunvit Vitamin A 10000 UI Cápsula blanda,Sunvit Vitamin A 10000 UI Cápsula blanda,DE4079,29.50,PEN,available,https://inkafarma.pe/producto/sunvit-vitamin-a-10000-ui-capsula-blanda/037805,037805,SUNVIT,algolia_public_search,2026-06-08T01:09:22.518751+00:00,,"Vitamina A ( Palmitato de retinol ) 10,000 UI Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitaminas Vitamina A",digemid_name_inference,true_rs_component,COMP_90C4121BAE0C;COMP_42698C2988A1,PALMITATO DE VITAMINA A 60;retinol
Inkafarma,Sunvit Vitamina B12+B6+Folic Tableta sublinguales,Sunvit Vitamina B12+B6+Folic Tableta sublinguales,,57.30,PEN,available,https://inkafarma.pe/producto/sunvit-vitamina-b12-b6-folic-tableta-sublinguales/068950,068950,SUNVIT,algolia_public_search,2026-06-08T01:09:22.518879+00:00,,Vitamina B12 100mcgVitamina B6 2mgFolato 1360 mcg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitaminas Suplementos y Vitaminas Vitamina B-Complejo B B6 y B12 Vitamina B,,true_component_name_no_rs,COMP_06B36D3A8FF3;COMP_FB0BFF3E6E21,VITAMINA B12;VITAMINA B6
Inkafarma,Zinc 10 mg + Vitamina C + Vitamina E Vitamins For Life Tableta Efervescente Sabor Durazno / Maracuyá,Zinc 10 mg + Vitamina C + Vitamina E Vitamins For Life Tableta Efervescente Sabor Durazno / Maracuyá,,15.90,PEN,unavailable,https://inkafarma.pe/producto/zinc-10mg-vitamina-c-vitamina-e-tabletas-eferv/024881,024881,VITAMINS FOR LIFE,algolia_public_search,2026-06-08T01:09:22.519336+00:00,,"VITAMINA C 150mg, ZINC 10mg, VITAMINA E 18mg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Contiene Zinc 10mg, Vitamina C 150mg y Vitamina E 18mg. Sin lactosa. Sin gluten. Sin azúcar. Sin preservantes. Sabor melocotón / maracuyá. Fácil de tomar y rápida absorción. Hecho en Alemania. Preguntas frecuentes .faq-grid { display: grid; grid-template-columns: repeat(2, 1fr); gap: 16px; margin: 24px 0; } .faq-card { background: #f8f9fa; border: 1px solid #e9ecef; border-radius: 10px; padding: 20px 24px; } .faq-card h3 { font-size: 16px; font-weight: 600; color: #1a1a1a; margin: 0 0 10px; line-height: 1.4; } .faq-card p { font-size: 14px; color: #555; margin: 0; line-height: 1.7; } @media (max-width: 600px) { .faq-grid { grid-template-columns: 1fr; } } ¿Qué ingredientes contiene Zinc 10 mg con vitamina C y vitamina E? Este producto contiene zinc, vitamina C y vitamina E en presentación de tabletas efervescentes para consumo oral. ¿Cómo se presentan las tabletas efervescentes con zinc? La presentación corresponde a tabletas efervescentes que deben disolverse en agua antes de su consumo. Este formato es utilizado en suplementos nutricionales. ¿Cómo se consume una tableta efervescente con vitaminas y zinc? La tableta debe disolverse completamente en agua antes de ingerirse. La forma de consumo debe seguir las instrucciones señaladas en el etiquetado. ¿Qué caracteriza a la vitamina E en suplementos nutricionales? La vitamina E es una vitamina liposoluble presente en suplementos y formulaciones vitamínicas de administración oral. Minerales Vitaminas Zinc Vitamina C",,true_component_name_no_rs,COMP_186EB4411CDF;COMP_723DBC80CC4E,LACTOSA;Zinc
Inkafarma,Vitamina E 1000 U.I Cápsula Blanda,Vitamina E 1000 U.I Cápsula Blanda,,66.90,PEN,available,https://inkafarma.pe/producto/vitamina-e-1000-ui-capsula-blanda/025179,025179,EMELE,algolia_public_search,2026-06-08T01:09:22.519660+00:00,,"Dl-Alpha Tocoferil Acetato 1000 U.I (450mg) Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Sin Transgénicos, Sin colores artificiales, Sin Sabores Artificiales, Sin Edulcorante Artificial, Sin preservantes, Sin azúcar, Sin almidón, Sin Leche, Sin Lactosa, Sin Gluten, Sin Trigo, Sin Levadura, Sin Pescado, Libre De Sodio. Vitaminas para Adultos Vitaminas Vitamina E",,true_component_name_no_rs,COMP_90C4121BAE0C;COMP_D4790F9775EF;COMP_186EB4411CDF,ACETATO DE VITAMINA A;ACETATO DE VITAMINA E 1;LACTOSA
Inkafarma,Vitamina E 1000 UI Cápsula Blanda,Vitamina E 1000 UI Cápsula Blanda,DE0825,56.50,PEN,available,https://inkafarma.pe/producto/vitamina-e-1000-ui-capsula-blanda/070653,070653,VITAMINA E,algolia_public_search,2026-06-08T01:09:22.519958+00:00,,"Cada cápsula blanda contiene: Vitamina E DL-Alfatocoferil Acetato (Vitamina E Sintética) equivalente a Vitamina E. 1000 U.I. Excipientes: Glicerina, otros c.s. Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Una dieta que contenga ácidos grasos omega puede resultar muy beneficiosa. Los aceites derivados de alimentos ricos en omega, como el pescado, aportan una amplia variedad de nutrientes naturales. Para quienes no disfrutan del pescado en su dieta, recurrir a un suplemento de omega de origen vegetal es una excelente manera de incorporar nutrientes beneficiosos a su día. Las gomitas Omega 3-6-7-9 proporcionan una fuente libre de pescado de ácidos grasos omega 3, 6, 7 y 9 naturales. Dos gomitas veganas aportan 360 mg de un complejo omega de origen vegetal que consta de aceite de linaza orgánico y aceite de fruto de espino amarillo. Vitaminas Vitamina E",digemid_name_inference,true_rs_component,COMP_90C4121BAE0C;COMP_D4790F9775EF;COMP_CE4756376C75;COMP_F9E1B8CF7D0E;COMP_041D8FEFC15D;COMP_69A245173CEA;COMP_EA8C1C7141D8;COMP_EF971D606F57,ACETATO DE VITAMINA A;ACETATO DE VITAMINA E 1;GLICERINA;Omega-3;Omega-5;Omega-6;Omega-7;Omega-9
Inkafarma,Hierro + Vitamina C Vitamins For Life Tableta Efervescente Sabor Cereza,Hierro + Vitamina C Vitamins For Life Tableta Efervescente Sabor Cereza,DE2095,15.90,PEN,available,https://inkafarma.pe/producto/iron-vitamina-c-tableta-efervescente/011029,011029,VITAMINS FOR LIFE,algolia_public_search,2026-06-08T01:09:22.520520+00:00,,"Hierro 14mg Vitamina C 75mg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Hierro + vitamina C suplemento nutricional efervescente sin preservantes, sin azúcar, sin gluten, sin lactosa. Hecho en Alemania. Preguntas frecuentes .faq-grid { display: grid; grid-template-columns: repeat(2, 1fr); gap: 16px; margin: 24px 0; } .faq-card { background: #f8f9fa; border: 1px solid #e9ecef; border-radius: 10px; padding: 20px 24px; } .faq-card h3 { font-size: 16px; font-weight: 600; color: #1a1a1a; margin: 0 0 10px; line-height: 1.4; } .faq-card p { font-size: 14px; color: #555; margin: 0; line-height: 1.7; } @media (max-width: 600px) { .faq-grid { grid-template-columns: 1fr; } } ¿Qué contiene Iron Vitamina C efervescente? Este producto combina hierro y vitamina C en tabletas efervescentes para consumo oral. Ambos componentes forman parte de suplementos nutricionales. ¿Qué diferencia tiene una tableta efervescente? Las tabletas efervescentes se disuelven en agua antes de su consumo. Este formato es utilizado en suplementos y vitaminas de administración oral. ¿Cómo se consume una vitamina efervescente con hierro? La tableta debe disolverse completamente en agua antes de ingerirse. La forma de consumo debe seguir las indicaciones señaladas en el envase. ¿Qué función tiene la vitamina C en suplementos con hierro? La vitamina C es un nutriente hidrosoluble presente en distintas formulaciones nutricionales y suplementos vitamínicos de administración oral. Minerales Vitaminas y Suplementos Vitaminas Hierro Vitamina C",digemid_name_inference,true_rs_component,COMP_B6A8F8958154;COMP_186EB4411CDF,HIERRO;LACTOSA
Inkafarma,Vitamina C + Zinc Vitamins For Life Tableta Efervescente Sabor Naranja,Vitamina C + Zinc Vitamins For Life Tableta Efervescente Sabor Naranja,,11.50,PEN,available,https://inkafarma.pe/producto/vitamina-c-1000mgzinc-10mg-tabletas-efervescentes/025763,025763,VITAMINS FOR LIFE,algolia_public_search,2026-06-08T01:09:22.520701+00:00,,"Zinc 10mg, Vitamina C 1000mg. Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitamina C 1000mg +zinc 10mg Suplemento nutricional efervescente, sin preservantes, sin azúcar, sin gluten, sin lactosa. Cupón INKA20 Vitaminas Vitamina C",,true_component_name_no_rs,COMP_186EB4411CDF;COMP_723DBC80CC4E,LACTOSA;Zinc
