pharmacy,commercial_name,formal_name,registro_sanitario,price,currency,availability,url,sku,brand,source_strategy,scraped_at,stock,component_text,registro_sanitario_source,component_traceable,component_ids_detected,component_names_detected
Boticas Peru,Vitamina B12 Frasco 60 Un,Vitamina B12 Frasco 60 Un,,59.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_b/vitamina_b12_-_frasco_60_un/38764.html,38764,,sfcc_search_update_grid,2026-06-08T01:13:20.354821+00:00,,S/ 59.00 Vitamina B12 - Frasco 60 UN,,true_component_name_no_rs,COMP_06B36D3A8FF3,VITAMINA B12
Boticas Peru,Redoxon Total Vitamina C%2C D Y Zinc Tubo 1 Un,Redoxon Total Vitamina C%2C D Y Zinc Tubo 1 Un,DE4521,14.60,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_c/redoxon_total_vitamina_c%2C_d_y_zinc__-_tubo_1_un/35895-REDO-T.html,35895-REDO-T,,sfcc_search_update_grid,2026-06-08T01:13:20.356370+00:00,,"S/ 14.60 Redoxon Total Vitamina C, D y Zinc - Tubo 1 UN",digemid_name_inference,true_rs_component,COMP_723DBC80CC4E,Zinc
Boticas Peru,Redoxon Total Vitamina C%2C D Y Zinc Caja 3 Un,Redoxon Total Vitamina C%2C D Y Zinc Caja 3 Un,DE4521,43.80,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_c/redoxon_total_vitamina_c%2C_d_y_zinc__-_caja_3_un/35895-REDO-CAJA.html,35895-REDO-CAJA,,sfcc_search_update_grid,2026-06-08T01:13:20.357159+00:00,,"S/ 43.80 Redoxon Total Vitamina C, D y Zinc - Caja 3 UN",digemid_name_inference,true_rs_component,COMP_723DBC80CC4E,Zinc
Boticas Peru,Vitamina E 400 Ui Capsula Blanda Caja 50 Un,Vitamina E 400 Ui Capsula Blanda Caja 50 Un,DE4803,26.50,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_e/vitamina_e_400_ui_capsula_blanda_-_caja_50_un/09970-CAJA.html,09970-CAJA,,sfcc_search_update_grid,2026-06-08T01:13:20.357959+00:00,,S/ 26.50 Vitamina E 400 Ui Cápsula Blanda - Caja 50 UN,digemid_name_inference,true_rs_component,,
Boticas Peru,Vitamina E 400 Ui Capsula Blanda Blister 10 Un,Vitamina E 400 Ui Capsula Blanda Blister 10 Un,DE4803,5.30,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_e/vitamina_e_400_ui_capsula_blanda_-_blister_10_un/09970-BLISTER.html,09970-BLISTER,,sfcc_search_update_grid,2026-06-08T01:13:20.358778+00:00,,S/ 5.30 Vitamina E 400 Ui Cápsula Blanda - Blister 10 UN,digemid_name_inference,true_rs_component,,
Boticas Peru,Vitamina B 12 250 Mcg Frasco 100 Un,Vitamina B 12 250 Mcg Frasco 100 Un,DE3661,56.50,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_b/vitamina_b-12_250_mcg_-_frasco_100_un/16434.html,16434,,sfcc_search_update_grid,2026-06-08T01:13:20.361166+00:00,,S/ 56.50 Vitamina B-12 250 MCG - Frasco 100 UN,digemid_name_inference,true_rs_component,,
Boticas Peru,Vitamina B Complex Electrolytes Frasco 60 Un,Vitamina B Complex Electrolytes Frasco 60 Un,DE4229,65.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_b/vitamina_b-complex_electrolytes_-_frasco_60_un/35911.html,35911,,sfcc_search_update_grid,2026-06-08T01:13:20.361923+00:00,,S/ 65.00 Vitamina B-Complex Electrolytes - Frasco 60 UN,digemid_name_inference,true_rs_component,,
Boticas Peru,Vitamina D3 400 I.U Frasco 100 Un,Vitamina D3 400 I.U Frasco 100 Un,,53.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_d/vitamina_d3_400_i.u_-_frasco_100_un/14412.html,14412,,sfcc_search_update_grid,2026-06-08T01:13:20.362703+00:00,,S/ 53.90 Vitamina D3 400 I.U - Frasco 100 UN,,true_component_name_no_rs,COMP_94DFE28A9A5C,VITAMINA D3
Boticas Peru,Calcio Citrato Con Vitamina D3 Frasco 60 Un,Calcio Citrato Con Vitamina D3 Frasco 60 Un,,71.50,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_d/calcio_citrato_con_vitamina_d3_-_frasco_60_un/13554.html,13554,,sfcc_search_update_grid,2026-06-08T01:13:20.363446+00:00,,S/ 71.50 Calcio Citrato con Vitamina D3 - Frasco 60 UN,,true_component_name_no_rs,COMP_275450118D60;COMP_94DFE28A9A5C,CALCIO;VITAMINA D3
Boticas Peru,Vitamina D3 50 Mcg Frasco 60 Und,Vitamina D3 50 Mcg Frasco 60 Und,DE3999,51.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_d/vitamina_d3_50_mcg_-_frasco_60_und/38765.html,38765,,sfcc_search_update_grid,2026-06-08T01:13:20.367231+00:00,,S/ 51.90 Vitamina D3 50 MCG - Frasco 60 und,digemid_name_inference,true_rs_component,COMP_94DFE28A9A5C,VITAMINA D3
