pharmacy,commercial_name,formal_name,registro_sanitario,price,currency,availability,url,sku,brand,source_strategy,scraped_at,stock,component_text,registro_sanitario_source,component_traceable
Farmacia Universal,Vitamina C Injektopas 7.5 g/50 ml Solución Inyectable - Vial 50 ml,Vitamina C Injektopas 7.5 g/50 ml Solución Inyectable 50 ml,EE07171,80.00,PEN,available,https://www.farmaciauniversal.com/vitamina-c-injektopas-75-g50-ml-solucion-inyectable-vial-50-ml/p,9439,Naturmedizin,vtex_catalog_search,2026-06-08T00:46:39.188187+00:00,100,/Medicinas/Cuidado Dermatológico/ /Medicinas/ /2/42/ /2/ Vial 50 ml EE07171 Presentación Registro Sanitario No Si No Producto a Pedido Requiere receta médica Requiere refrigeración 2 Presentación Registro Sanitario Producto a Pedido Requiere receta médica Requiere refrigeración Stock Security Campos Auxiliares Highlight Stock Security De venta con receta médica. Evite automedicarse. Usar según indicaciones de su médico tratante.,vtex_spec_or_regex,false_no_component_match
Farmacia Universal,Propiel Vitamina C 10% Serum - Frasco 50 ml,Propiel Vitamina C 10% Serum 50 ml Precio + Delivery Gratis,NSOC6308024PE,130.00,PEN,available,https://www.farmaciauniversal.com/propiel-vitamina-c-10-serum-frasco-50-ml/p,29686,Propiel,vtex_catalog_search,2026-06-08T00:46:39.188530+00:00,1,"/Dermocosmética/Serums y Ampollas/Antiedad/ /Dermocosmética/Serums y Ampollas/ /Dermocosmética/ /6/174/197/ /6/174/ /6/ Frasco 50 ml NSOC6308024PE Lavarse bien el rostro con agua fría. Toma unas gotas de Propiel Serum y aplícalo uniformemente en rostro y cuello. Deja pasar 3 a 5minutos hasta que se absorba todo el producto en tu piel. Aplica una crema hidratante y realiza masajes de forma ascendente. Finalmente utiliza un buen bloqueador y listo. No usar en piel irritada, con heridas abiertas o si presenta alergia a alguno de los ingredientes. Evitar el contacto con los ojos y suspender su uso en caso de enrojecimiento o irritación. No combinar con retinol o ácidos exfoliantes fuertes. Mantener fuera del alcance de los niños y almacenar en un lugar fresco y oscuro. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 0 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Ilumina y revitaliza tu rostro con nuestro sérum de vitamina C al 10%. Combate las manchas, unifica el tono y estimula la producción de colágeno para una piel más radiante y joven.",vtex_spec_or_regex,false_no_component_match
Farmacia Universal,Aquamarine Loción Corporal con Vitamina E - Frasco 437 ml,Aquamarine Loción Corporal con Vitamina E 437 ml Precio + Delivery Gratis,NSOC6815724PE,20.25,PEN,available,https://www.farmaciauniversal.com/aquamarine-locion-corporal-con-vitamina-e-frasco-437-ml/p,363,Revlon,vtex_catalog_search,2026-06-08T00:46:39.189453+00:00,10,"/Dermocosmética/Cuidado Corporal/Hidratantes Corporales/ /Dermocosmética/Cuidado Corporal/ /Dermocosmética/ /6/175/202/ /6/175/ /6/ Frasco 437 ml NSOC6815724PE Aplicar la loción sobre la piel limpia, extendiendo con masajes suaves hasta su completa absorción. Puede utilizarse diariamente, tantas veces como sea necesario, especialmente después del baño o cuando la piel se sienta seca. Uso externo únicamente. Evitar contacto con ojos y mucosas. Si aparece irritación, enrojecimiento o sensibilidad, suspender el uso. Mantener alejado de niños pequeños y almacenar en un lugar fresco. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Aquamarine Loción Corporal con Vitamina E es una crema hidratante diseñada para suavizar y nutrir la piel, brindando sensación de frescura y confort. Su fórmula con vitamina E ayuda a mantener la piel humectada durante el día y contribuye a una textura más tersa.",vtex_spec_or_regex,false_no_component_match
Farmacia Universal,Aquamarine Loción Corporal Vitamina A + Colágeno - Frasco 437 ml,Aquamarine Loción Corporal Vitamina A + Colágeno 437 ml Precio + Delivery Gratis,NSOC6596424PE,20.25,PEN,available,https://www.farmaciauniversal.com/aquamarine-locion-corporal-vitamina-a-colageno-frasco-437-ml/p,364,Revlon,vtex_catalog_search,2026-06-08T00:46:39.190002+00:00,10,"/Dermocosmética/Cuidado Corporal/Hidratantes Corporales/ /Dermocosmética/Cuidado Corporal/ /Dermocosmética/ /6/175/202/ /6/175/ /6/ Frasco 437 ml NSOC6596424PE Aplicar generosamente sobre la piel limpia, preferentemente después del baño o la ducha, distribuyendo de manera uniforme en todo el cuerpo hasta su absorción. Evitar el contacto con los ojos. En caso de presentar irritación, suspender su uso. Uso externo. Mantener fuera del alcance de los niños. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Aquamarine Loción Corporal Vitamina A + Colágeno es una loción formulada con humectantes como vitamina A y colágeno, diseñada para complementar la hidratación diaria de la piel. Su fórmula no grasa se absorbe con facilidad y está orientada a mejorar la apariencia de la piel seca, aportando suavidad y ayudando a mantener la hidratación. Puede integrarse en la rutina diaria para el cuidado de la piel expuesta a factores ambientales, contribuyendo a una sensación de confort y aspecto saludable.",vtex_spec_or_regex,false_no_component_match
Farmacia Universal,Mason Vitamina K2 + D3 Tabletas - Frasco 60 und,Mason Vitamina K2 + D3 Tabletas 60 und Precio + Delivery Gratis,DE5515,74.90,PEN,available,https://www.farmaciauniversal.com/mason-vitamina-k2-d3-tabletas-frasco-60-und/p,31267,Mason Natural,vtex_catalog_search,2026-06-08T00:46:39.190555+00:00,100,"/Vitaminas y Suplementos/Multivitamínicos/Osteoarticulares/ /Vitaminas y Suplementos/Multivitamínicos/ /Vitaminas y Suplementos/ /1/344/354/ /1/344/ /1/ Frasco 60 und Vitamina K2 100 mcg, Calcio 34 mg, Vitamina D3 25 mcg DE5515 Tomar 1 tableta al día, preferiblemente con alimentos. No exceder la dosis diaria recomendada. Este producto no debe utilizarse como sustituto de una dieta equilibrada. Si está embarazada, en periodo de lactancia, tomando alguna medicación o tiene alguna condición médica, consulte a su médico antes de tomar este producto. Presentación Principio Activo Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Principio Activo Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Mason Vitamina K2 + D3 es suplemento que está diseñado para aportar vitamina D3 y vitamina K2, dos nutrientes que trabajan de manera complementaria en el metabolismo del calcio. La vitamina D3 favorece la absorción de calcio a nivel intestinal, mientras que la vitamina K2 contribuye a su adecuada distribución en el organismo, evitando su acumulación en los tejidos inadecuados. Su consumo regular puede ser un aliado en el cuidado de los huesos, dientes y la función cardiovascular dentro de una dieta balanceada.",vtex_spec_or_regex,false_no_component_match
Farmacia Universal,Dermohelp Serum de Vitamina C + Alfa Arbutina - Frasco 30 ml,Dermohelp Serum de Vitamina C + Alfa Arbutina 30 ml Precio + Delivery Gratis,NSOC0852221CO,79.90,PEN,available,https://www.farmaciauniversal.com/dermohelp-serum-de-vitamina-c-alfa-arbutina-frasco-30-ml/p,31784,Dermohelp,vtex_catalog_search,2026-06-08T00:46:39.192537+00:00,1,"/Dermocosmética/Serums y Ampollas/Antipigmentación/ /Dermocosmética/Serums y Ampollas/ /Dermocosmética/ /6/174/198/ /6/174/ /6/ Frasco 30 ml NSOC0852221CO Aplicar 2 a 3 gotas sobre el rostro limpio y seco, por la mañana y/o noche. Extender con movimientos suaves y ascendentes desde el centro del rostro hacia los extremos hasta su completa absorción. Durante el día, complementar siempre con protector solar para potenciar la acción antioxidante y prevenir la pigmentación. Puede aplicarse también en cuello y escote (1 a 2 gotas adicionales). Solo para uso externo. Evitar el contacto directo con los ojos. Si se presenta irritación o enrojecimiento, suspender su uso y consultar a un especialista. Conservar en un lugar fresco y seco, protegido de la luz solar directa. Mantener fuera del alcance de los niños. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 0 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security El sérum de Vitamina C + Alfa Arbutina de Dermohelp está formulado para quienes buscan una piel más uniforme y luminosa. Su combinación de antioxidantes puede ayudar a mejorar la apariencia del tono y aportar un acabado revitalizado. Su textura ligera se absorbe con facilidad, integrándose bien en rutinas de día o noche y dejando una sensación fresca y confortable en la piel.",vtex_spec_or_regex,false_no_component_match
Farmacia Universal,"HI Universal Citrato de Magnesio Amalaki, Zinc y Vitamina C - Frasco 330 g","HI Universal Citrato de Magnesio Amalaki, Zinc y Vitamina C 330 g Precio + Delivery Gratis",E4504924NNAHRNT,56.00,PEN,available,https://www.farmaciauniversal.com/hi-universal-citrato-de-magnesio-amalaki-zinc-y-vitamina-c-lata-330-g/p,27575,HI Universal,vtex_catalog_search,2026-06-08T00:46:39.195428+00:00,99999,"/Vitaminas y Suplementos/Minerales y Otros/Magnesio/ /Vitaminas y Suplementos/Minerales y Otros/ /Vitaminas y Suplementos/ /1/10/15/ /1/10/ /1/ Frasco 330 g E4504924NNAHRNT Vierta el contenido de una cucharada de 10gr. en un vaso con agua fría o helada , disuelva y consuma enseguida. Mantener fuera del alcance de los niños. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 2 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security El Magnesio es un nutriente que el cuerpo necesita para mantenerse sano ya que es importante para muchos procesos que realiza el cuerpo. Por ejemplo, regula la función de los músculos y el sistema nervioso, los niveles de azúcar en la sangre, y la presión sanguínea. Además, ayuda a formar proteína, masa ósea y ADN (el material genético presente en las células). El Zinc, además del hierro, es el segundo oligoelemento más abundante en el cuerpo y es necesario para numerosos procesos bioquímicos; contribuye al funcionamiento normal del sistema inmunológico. El Amalaki es una fruta que crece principalmente en el Himalaya. Es una gran fuente de vitaminas, minerales, proteínas, fibras y, en especial, destaca su alto contenido en vitamina c, ya que prácticamente es el equivalente a dos docenas de naranjas. La Vitamina C actúa como antioxidante y proteína necesaria para la cicatrización de las heridas, así como contribuye al buen funcionamiento del sistema inmunitario para proteger al cuerpo contra las enfermedades. El Camu Camu es una fruta amazónica que destaca por ser uno de los frutos que brinda mayor cantidad de vitamina C. Su potente función antioxidante permite una mejor absorción del colágeno.",vtex_spec_or_regex,false_no_component_match
Farmacia Universal,Farma D Gotas 200 ui Solución Oral - Frasco 10 ml,Farma D Gotas 200 ui Solución Oral 10 ml Precio + Delivery Gratis,DE3267,55.00,PEN,available,https://www.farmaciauniversal.com/farma-d-gotas-200-ui-solucion-oral-frasco-10-ml/p,26463,Farma D,vtex_catalog_search,2026-06-08T00:46:39.197100+00:00,10,"/Vitaminas y Suplementos/Vitaminas/Vitamina D/ /Vitaminas y Suplementos/Vitaminas/ /Vitaminas y Suplementos/ /1/343/348/ /1/343/ /1/ Frasco 10 ml DE3267 Infantes de 0 meses a 6 meses: 2-4 gotas (400 UI - 800 UI) por día. Infantes de 6 eses a niños de 8 años: 2- 5 gotas (400 UI - 1,000 UI) por día. Debe suspenderse la administración de otros compuestos de Vitamina D y sus derivados, incluyendo los alimentos que puedan estar reforzados con Vitamina D. La Vitamina D3 puede incrementar el grado de hipercalcemia y/o hipercalciuria cuando se administra a pacientes con enfermedades relacionadas con la sobreproducción descontrolada de Calcitriol (p. ej. leucemia, linfoma, sarcoidosis). en estos casos suspender la administración. Tenga cuidado de asegurar la dosis correcta en bebés. Controle la concentración ed calcio en plasma en caso de insuficiencia renal. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Suplemento dietético D3. Vitamina D3 en gotas para prevención y tratamiento de la hipovitaminosis D.",vtex_spec_or_regex,false_no_component_match
Farmacia Universal,Mucovit Plus Multivitamínico en Gotas - Frasco 15 ml,Mucovit Plus Multivitamínico en Gotas 15 ml Precio + Delivery Gratis,DN0604,33.64,PEN,available,https://www.farmaciauniversal.com/mucovit-plus-multivitaminico-en-gotas-frasco-15-ml/p,28880,Hersil,vtex_catalog_search,2026-06-08T00:46:39.197734+00:00,10,"/Vitaminas y Suplementos/Multivitamínicos/Adultos/ /Vitaminas y Suplementos/Multivitamínicos/ /Vitaminas y Suplementos/ /1/344/350/ /1/344/ /1/ Frasco 15 ml DN0604 Dosis para niños menores de 1 año: 0.75 ml, 1 vez al día. Dosis para niños de 1 a 3 años: 1 ml, 1 vez al día. Dosis para niños de 4 a 8 años: 1.25 ml, 1 vez al día. Mantener fuera del alcance de los niños. Si detecta alguna reacción negativa al consumir este producto, consulte con su médico. Para mayor información, leer el inserto adjunto al producto o consultar con un profesional de la salud. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Suplemento dietético en gotas.",vtex_spec_or_regex,false_no_component_match
Farmacia Universal,Vital One 50 000 UI Cápsulas Blandas - Caja 4 und,Vital One 50 000 UI Cápsulas Blandas 4 und,EE14179,60.00,PEN,available,https://www.farmaciauniversal.com/vital-one-50-000-ui-capsulas-blandas-caja-4-und/p,31607,Intipharma,vtex_catalog_search,2026-06-08T00:46:39.197904+00:00,10,/Medicinas/Sistema Nervioso/Vitaminas Neuroprotectoras/ /Medicinas/Sistema Nervioso/ /Medicinas/ /2/416/432/ /2/416/ /2/ Caja 4 und Colecalciferol 50 000 UI EE14179 Presentación Principio Activo Registro Sanitario No Si No Producto a Pedido Requiere receta médica Requiere refrigeración 1 Presentación Principio Activo Registro Sanitario Producto a Pedido Requiere receta médica Requiere refrigeración Stock Security Campos Auxiliares Highlight Stock Security,vtex_spec_or_regex,false_no_component_match
