pharmacy,commercial_name,formal_name,registro_sanitario,price,currency,availability,url,sku,brand,source_strategy,scraped_at,stock,component_text,registro_sanitario_source,component_traceable
Mifarma,Sunvit Vitamin E 400 IU Cápsula Blanda,Sunvit Vitamin E 400 IU Cápsula Blanda,E-400,28.40,PEN,available,https://www.mifarma.com.pe/producto/sunvit-vitamin-e-400-iu-capsula-blanda/816513,816513,SUNVIT,algolia_public_search,2026-06-08T00:46:24.186653+00:00,,Cada cápsula blanda contiene: Vitamina E 400 UI (como acetato de dl-alfa tocoferilo).....180 mg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitaminas Vitamina E,page_or_detail_regex,false_no_component_match
Mifarma,Sunvit Vitamina B12+B6+Folic Tableta sublinguales,Sunvit Vitamina B12+B6+Folic Tableta sublinguales,,57.30,PEN,available,https://www.mifarma.com.pe/producto/sunvit-vitamina-b12-b6-folic-tableta-sublinguales/303878,303878,SUNVIT,algolia_public_search,2026-06-08T00:46:24.186942+00:00,,Vitamina B12 100mcgVitamina B6 2mgFolato 1360 mcg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitaminas Suplementos y Vitaminas Vitamina B-Complejo B B6 y B12 Vitamina B,,false_no_registro_sanitario
Mifarma,Zinc 10 mg + Vitamina C + Vitamina E Vitamins For Life Tableta Efervescente Sabor Durazno / Maracuyá,Zinc 10 mg + Vitamina C + Vitamina E Vitamins For Life Tableta Efervescente Sabor Durazno / Maracuyá,,15.90,PEN,unavailable,https://www.mifarma.com.pe/producto/zinc-10mg-vitamina-c-vitamina-e-tabletas-eferv/529513,529513,VITAMINS FOR LIFE,algolia_public_search,2026-06-08T00:46:24.187412+00:00,,"VITAMINA C 150mg, ZINC 10mg, VITAMINA E 18mg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Contiene Zinc 10mg, Vitamina C 150mg y Vitamina E 18mg. Sin lactosa. Sin gluten. Sin azúcar. Sin preservantes. Sabor melocotón / maracuyá. Fácil de tomar y rápida absorción. Hecho en Alemania. Preguntas frecuentes .faq-grid { display: grid; grid-template-columns: repeat(2, 1fr); gap: 16px; margin: 24px 0; } .faq-card { background: #f8f9fa; border: 1px solid #e9ecef; border-radius: 10px; padding: 20px 24px; } .faq-card h3 { font-size: 16px; font-weight: 600; color: #1a1a1a; margin: 0 0 10px; line-height: 1.4; } .faq-card p { font-size: 14px; color: #555; margin: 0; line-height: 1.7; } @media (max-width: 600px) { .faq-grid { grid-template-columns: 1fr; } } ¿Qué ingredientes contiene Zinc 10 mg con vitamina C y vitamina E? Este producto contiene zinc, vitamina C y vitamina E en presentación de tabletas efervescentes para consumo oral. ¿Cómo se presentan las tabletas efervescentes con zinc? La presentación corresponde a tabletas efervescentes que deben disolverse en agua antes de su consumo. Este formato es utilizado en suplementos nutricionales. ¿Cómo se consume una tableta efervescente con vitaminas y zinc? La tableta debe disolverse completamente en agua antes de ingerirse. La forma de consumo debe seguir las instrucciones señaladas en el etiquetado. ¿Qué caracteriza a la vitamina E en suplementos nutricionales? La vitamina E es una vitamina liposoluble presente en suplementos y formulaciones vitamínicas de administración oral. Minerales Vitaminas Zinc Vitamina C",,false_no_registro_sanitario
Mifarma,Enat 400UI Vitamina E Cápsula Blanda,Enat 400UI Vitamina E Cápsula Blanda,E-400UI,53.01,PEN,available,https://www.mifarma.com.pe/producto/enat-400ui-vitamina-e/553828,553828,ENAT,algolia_public_search,2026-06-08T00:46:24.187571+00:00,,Vitamina E 400UI Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitaminas Vitamina E,page_or_detail_regex,false_no_component_match
Mifarma,Vitamina E 1000 U.I Cápsula Blanda,Vitamina E 1000 U.I Cápsula Blanda,,66.90,PEN,available,https://www.mifarma.com.pe/producto/vitamina-e-1000-ui-capsula-blanda/529763,529763,EMELE,algolia_public_search,2026-06-08T00:46:24.187747+00:00,,"Dl-Alpha Tocoferil Acetato 1000 U.I (450mg) Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Sin Transgénicos, Sin colores artificiales, Sin Sabores Artificiales, Sin Edulcorante Artificial, Sin preservantes, Sin azúcar, Sin almidón, Sin Leche, Sin Lactosa, Sin Gluten, Sin Trigo, Sin Levadura, Sin Pescado, Libre De Sodio. Vitaminas para Adultos Vitaminas Vitamina E",,false_no_registro_sanitario
Mifarma,E-port 400UI Vitamina E Cápsula blanda,E-port 400UI Vitamina E Cápsula blanda,E-400UI,56.94,PEN,available,https://www.mifarma.com.pe/producto/e-port-400ui-vitamina-e/525924,525924,E-PORT,algolia_public_search,2026-06-08T00:46:24.188180+00:00,,Vitamina E 400UI Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitaminas Vitamina E,page_or_detail_regex,false_no_component_match
Mifarma,Vitamina C + Zinc Vitamins For Life Tableta Efervescente Sabor Naranja,Vitamina C + Zinc Vitamins For Life Tableta Efervescente Sabor Naranja,,11.50,PEN,available,https://www.mifarma.com.pe/producto/vitamina-c-1000mgzinc-10mg-tabletas-efervescentes/538033,538033,VITAMINS FOR LIFE,algolia_public_search,2026-06-08T00:46:24.188808+00:00,,"Zinc 10mg, Vitamina C 1000mg. Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitamina C 1000mg +zinc 10mg Suplemento nutricional efervescente, sin preservantes, sin azúcar, sin gluten, sin lactosa. Cupón INKA20 Vitaminas Vitamina C",,false_no_registro_sanitario
Mifarma,Vitamina E 400 UI Cápsula Blanda,Vitamina E 400 UI Cápsula Blanda,A-400,26.50,PEN,available,https://www.mifarma.com.pe/producto/vitamina-e-400-ui-capsula-blanda/132873,132873,PROCAPS,algolia_public_search,2026-06-08T00:46:24.188961+00:00,,"Dl-alfa tocoferil acetato/Vitamina E sintética (equivalente a 400 U.I de vitamina E), aceite vegetal,gelatina,glicerina,metilparabeno sódico,propilparabeno sódico,agua purificada, c.s. Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Vitaminas Vitamina E",page_or_detail_regex,false_no_component_match
Mifarma,Pack 03 Vitaminas C Efervescentes con Zinc,Pack 03 Vitaminas C Efervescentes con Zinc,,31.50,PEN,available,https://www.mifarma.com.pe/producto/pack-03-vitaminas-c-efervescentes-con-zinc/PACKNT33,PACKNT33,VITAMINS FOR LIFE,algolia_public_search,2026-06-08T00:46:24.189123+00:00,,"ZINC 10mg, VITAMINA C 1000mg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Suplemento nutricional efervescente, sin preservantes, sin azúcar, sin gluten, sin lactosa. Vitaminas Packs de Nutrición y Bienestar Vitamina C",,false_no_registro_sanitario
Mifarma,Pack 02 Vitaminas C Efervescentes con Zinc,Pack 02 Vitaminas C Efervescentes con Zinc,,21.90,PEN,available,https://www.mifarma.com.pe/producto/pack-02-vitaminas-c-efervescentes-con-zinc/PACKNT32,PACKNT32,VITAMINS FOR LIFE,algolia_public_search,2026-06-08T00:46:24.189292+00:00,,"ZINC 10mg, VITAMINA C 1000mg Este producto es distribuido por Inretail Pharma S.A. (Ley 32033) Suplemento nutricional efervescente, sin preservantes, sin azúcar, sin gluten, sin lactosa. Vitaminas Packs de Nutrición y Bienestar Vitamina C",,false_no_registro_sanitario
