pharmacy,commercial_name,formal_name,registro_sanitario,price,currency,availability,url,sku,brand,source_strategy,scraped_at,stock,component_text,registro_sanitario_source,component_traceable,component_ids_detected,component_names_detected
Farmacia Universal,Vitamina C Injektopas 7.5 g/50 ml Solución Inyectable - Vial 50 ml,Vitamina C Injektopas 7.5 g/50 ml Solución Inyectable 50 ml,,80.00,PEN,available,https://www.farmaciauniversal.com/vitamina-c-injektopas-75-g50-ml-solucion-inyectable-vial-50-ml/p,9439,Naturmedizin,vtex_catalog_search,2026-06-08T01:11:58.699215+00:00,100,/Medicinas/Cuidado Dermatológico/ /Medicinas/ /2/42/ /2/ Vial 50 ml EE07171 Presentación Registro Sanitario No Si No Producto a Pedido Requiere receta médica Requiere refrigeración 2 Presentación Registro Sanitario Producto a Pedido Requiere receta médica Requiere refrigeración Stock Security Campos Auxiliares Highlight Stock Security De venta con receta médica. Evite automedicarse. Usar según indicaciones de su médico tratante.,,false_no_registro_sanitario,,
Farmacia Universal,Aquamarine Loción Corporal con Vitamina E - Frasco 437 ml,Aquamarine Loción Corporal con Vitamina E 437 ml Precio + Delivery Gratis,,20.25,PEN,available,https://www.farmaciauniversal.com/aquamarine-locion-corporal-con-vitamina-e-frasco-437-ml/p,363,Revlon,vtex_catalog_search,2026-06-08T01:11:58.700576+00:00,10,"/Dermocosmética/Cuidado Corporal/Hidratantes Corporales/ /Dermocosmética/Cuidado Corporal/ /Dermocosmética/ /6/175/202/ /6/175/ /6/ Frasco 437 ml NSOC6815724PE Aplicar la loción sobre la piel limpia, extendiendo con masajes suaves hasta su completa absorción. Puede utilizarse diariamente, tantas veces como sea necesario, especialmente después del baño o cuando la piel se sienta seca. Uso externo únicamente. Evitar contacto con ojos y mucosas. Si aparece irritación, enrojecimiento o sensibilidad, suspender el uso. Mantener alejado de niños pequeños y almacenar en un lugar fresco. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Aquamarine Loción Corporal con Vitamina E es una crema hidratante diseñada para suavizar y nutrir la piel, brindando sensación de frescura y confort. Su fórmula con vitamina E ayuda a mantener la piel humectada durante el día y contribuye a una textura más tersa.",,false_no_registro_sanitario,,
Farmacia Universal,Dermohelp Serum de Vitamina C + Alfa Arbutina - Frasco 30 ml,Dermohelp Serum de Vitamina C + Alfa Arbutina 30 ml Precio + Delivery Gratis,,79.90,PEN,available,https://www.farmaciauniversal.com/dermohelp-serum-de-vitamina-c-alfa-arbutina-frasco-30-ml/p,31784,Dermohelp,vtex_catalog_search,2026-06-08T01:11:58.703735+00:00,1,"/Dermocosmética/Serums y Ampollas/Antipigmentación/ /Dermocosmética/Serums y Ampollas/ /Dermocosmética/ /6/174/198/ /6/174/ /6/ Frasco 30 ml NSOC0852221CO Aplicar 2 a 3 gotas sobre el rostro limpio y seco, por la mañana y/o noche. Extender con movimientos suaves y ascendentes desde el centro del rostro hacia los extremos hasta su completa absorción. Durante el día, complementar siempre con protector solar para potenciar la acción antioxidante y prevenir la pigmentación. Puede aplicarse también en cuello y escote (1 a 2 gotas adicionales). Solo para uso externo. Evitar el contacto directo con los ojos. Si se presenta irritación o enrojecimiento, suspender su uso y consultar a un especialista. Conservar en un lugar fresco y seco, protegido de la luz solar directa. Mantener fuera del alcance de los niños. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 0 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security El sérum de Vitamina C + Alfa Arbutina de Dermohelp está formulado para quienes buscan una piel más uniforme y luminosa. Su combinación de antioxidantes puede ayudar a mejorar la apariencia del tono y aportar un acabado revitalizado. Su textura ligera se absorbe con facilidad, integrándose bien en rutinas de día o noche y dejando una sensación fresca y confortable en la piel.",,false_no_registro_sanitario,,
Farmacia Universal,Mucovit Plus Multivitamínico en Gotas - Frasco 15 ml,Mucovit Plus Multivitamínico en Gotas 15 ml Precio + Delivery Gratis,,33.64,PEN,available,https://www.farmaciauniversal.com/mucovit-plus-multivitaminico-en-gotas-frasco-15-ml/p,28880,Hersil,vtex_catalog_search,2026-06-08T01:11:58.709039+00:00,10,"/Vitaminas y Suplementos/Multivitamínicos/Adultos/ /Vitaminas y Suplementos/Multivitamínicos/ /Vitaminas y Suplementos/ /1/344/350/ /1/344/ /1/ Frasco 15 ml DN0604 Dosis para niños menores de 1 año: 0.75 ml, 1 vez al día. Dosis para niños de 1 a 3 años: 1 ml, 1 vez al día. Dosis para niños de 4 a 8 años: 1.25 ml, 1 vez al día. Mantener fuera del alcance de los niños. Si detecta alguna reacción negativa al consumir este producto, consulte con su médico. Para mayor información, leer el inserto adjunto al producto o consultar con un profesional de la salud. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Suplemento dietético en gotas.",,false_no_registro_sanitario,,
Farmacia Universal,La Naturaleza y tu Salud Harina de Aguaje - Frasco 200 g,La Naturaleza y tu Salud Harina de Aguaje 200 g Precio + Delivery Gratis,,22.00,PEN,available,https://www.farmaciauniversal.com/la-naturaleza-y-tu-salud-harina-de-aguaje-frasco-200-g/p,29092,La Naturaleza y tu Salud,vtex_catalog_search,2026-06-08T01:11:58.710496+00:00,10,"/Productos Saludables/Repostería y Cocina/Harina/ /Productos Saludables/Repostería y Cocina/ /Productos Saludables/ /9/273/284/ /9/273/ /9/ Frasco 200 g D1504923NNALANT Úsalo como harina para tus postres. Disolver una cucharada en tus batidos, yogurts o jugos antes de tus comidas. Evitar su consumo en caso de embarazo o en niños menores de 7 años. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Tiene altos niveles de vitamina A, C y E. Promueve la salud cardiovascular. Ayuda a equilibrar los niveles hormonales. Ayuda a obtener una piel más saludable. Ayuda a la depuración del hígado.",,false_no_registro_sanitario,,
Farmacia Universal,Benalgin 10000 NF Solución Inyectable + Jeringa Desechable - Caja 1 kit,Benalgin 10000 NF Solución Inyectable + Jeringa Desechable 1 kit,,27.03,PEN,available,https://www.farmaciauniversal.com/benalgin-10000-nf-solucion-inyectable-jeringa-desechable-caja-1-kit/p,29918,Lusa,vtex_catalog_search,2026-06-08T01:11:59.711085+00:00,10,/Medicinas/Sistema Nervioso/Vitaminas Neuroprotectoras/ /Medicinas/Sistema Nervioso/ /Medicinas/ /2/416/432/ /2/416/ /2/ Caja 1 kit EN07734 Presentación Registro Sanitario No Si No Producto a Pedido Requiere receta médica Requiere refrigeración 1 Presentación Registro Sanitario Producto a Pedido Requiere receta médica Requiere refrigeración Stock Security Campos Auxiliares Highlight Stock Security De venta con receta médica. Evite automedicarse. Usar según indicaciones de su médico tratante.,,false_no_registro_sanitario,,
Farmacia Universal,Mucovit HRS Multivitamínico Jarabe - Frasco 110 ml,Mucovit HRS Multivitamínico Jarabe 110 ml Precio + Delivery Gratis,,37.58,PEN,available,https://www.farmaciauniversal.com/mucovit-hrs-multivitaminico-jarabe-frasco-110-ml/p,11489,Hersil,vtex_catalog_search,2026-06-08T01:11:59.711354+00:00,10,"/Vitaminas y Suplementos/Multivitamínicos/Adultos/ /Vitaminas y Suplementos/Multivitamínicos/ /Vitaminas y Suplementos/ /1/344/350/ /1/344/ /1/ Frasco 110 ml DN0174 Vía oral. Dosis para niños de 2 a 6 años: 10 gotas/día, repartidas en 2 tomas (desayuno y comida). Dosis para adultos y niños mayores de 6 años: 18 gotas/día. Máximo 1 mes. No indicado en menores de 2 años. No usar en menores de 2 años. Hipercalcemia, hipervitaminosis D, osteodistrofia renal con hiperfosfatemia. Altas dosis de vitamina C puede alterar las pruebas de determinación de glucosa en orina. Almacénese a temperatura no mayor de 25 °C. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 1 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Mucovit Jarabe está indicado para las deficiencias vitamínicas que ocurren por mala nutrición, dificultades en la absorción y procesos infecciosos prolongados.",,false_no_registro_sanitario,,
Farmacia Universal,Cellskinlab AOX C15 Serum - Frasco 15 ml,Cellskinlab AOX C15 Serum 15 ml Precio + Delivery Gratis,,122.32,PEN,available,https://www.farmaciauniversal.com/cellskinlab-aox-c15-serum-frasco-15-ml/p,5613,Cellskinlab,vtex_catalog_search,2026-06-08T01:11:59.713088+00:00,1,"/Dermocosmética/Serums y Ampollas/Antiedad/ /Dermocosmética/Serums y Ampollas/ /Dermocosmética/ /6/174/197/ /6/174/ /6/ Frasco 15 ml NSOC2829216PE Aplicar Serum AOX C15 en la mañana 3 a 4 gotas en rostro, cuello y escote sobre la piel limpia y seca. Ideal para piel normal y piel sensible. No utilizar en personas alérgicas alguno de sus componentes. En las primeras aplicaciones pudiera sentir sensación de hormigueo en la piel (es normal por diferencia de pH del producto con la piel), si esto persiste, la piel se enrojece o inflama discontinuar su uso. Puede manchar la ropa de color claro lo que se elimina con el lavado. Sólo para uso externo. No utilizar en contorno de ojos. Almacenar protegido del calor y de la luz. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 0 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Serum antioxidante con Citamina C al 15% que evita en forma eficaz los efectos del fotoenvejecimiento. Con Serum AOX C15, tu piel lucirá con menos arrugas, más radiante, con mayor luminosidad y más sana. En su formulación contiene Vitamina C pura al 15% que protege frente al daño producido por los radicales libres generados la radiación UV, y estimula la producción de colágeno. Su PH de 3.5 asegura la mejor absorción del producto en la piel.",,false_no_registro_sanitario,,
Farmacia Universal,Pediasure Bebible Sabor Vainilla - Frasco 220 ml,Pediasure Bebible Vainilla 220 ml Precio + Delivery Gratis,,11.20,PEN,available,https://www.farmaciauniversal.com/pediasure-bebible-sabor-vainilla-frasco-220-ml/p,25812,Pediasure,vtex_catalog_search,2026-06-08T01:11:59.721991+00:00,100,"/Cuidado Infantil/Nutrición Infantil/Fórmulas Infantiles/ /Cuidado Infantil/Nutrición Infantil/ /Cuidado Infantil/ /5/151/167/ /5/151/ /5/ Frasco 220 ml I4550721ENAABLB Listo para usar. AGITAR BIEN. Una vez abierto, tapar y refrigerar. Desechar si no se utiliza dentro de las 24 horas. Una vez abierto, tapar y refrigerar. Desechar si no se utiliza dentro de las 24 horas. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido Vainilla Frasco 220 ml Sabor Presentaciones 3 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Sabor Presentaciones Stock Security Campos Auxiliares Highlight Filtros Stock Security PediaSure está recomendado para niños: Con patrones de crecimiento por debajo de los de su misma edad. Con requisitos nutricionales y calóricos incrementados. Con desnutrición o ingesta reducida de alimentos por disminución del apetito. Consulte a su médico acerca de las necesidades de alimentación específificas de su. hijo. Con 5 grupos de nutrientes que apoyan el crecimiento y desarrollo.",,false_no_registro_sanitario,,
Farmacia Universal,Isdin Isdinceutics Flavo C Serum - Frasco 30 ml,Isdin Isdinceutics Flavo C Serum 30 ml Precio + Delivery Gratis,,167.92,PEN,available,https://www.farmaciauniversal.com/isdin-isdinceutics-flavo-c-serum-frasco-30-ml/p,21099,Isdin,vtex_catalog_search,2026-06-08T01:12:00.782340+00:00,10,"/Dermocosmética/Serums y Ampollas/Antipigmentación/ /Dermocosmética/Serums y Ampollas/ /Dermocosmética/ /6/174/198/ /6/174/ /6/ Frasco 30 ml NSOC3264517PE Utilizar mañana y/o noche sobre la piel limpia antes del cuidado habitual. Aplicar 5 gotas en la palma de la mano y masajear con la yema de los dedos en rostro, cuello y escote evitando el contorno de los ojos. Uso externo. Mantener el producto fuera del alcance de los niños. Evitar el contacto con ojos y mucosas. En personas con piel sensible es normal observar una ligera irritación en las primeras aplicaciones. En caso de persistir la irritación, suspender el uso y consultar con el dermatólogo. Probado dermatológicamente. No comedogénico. Uso Adulto. Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones No Producto a Pedido 0 Presentación Registro Sanitario Modo de uso Precauciones y Contraindicaciones Producto a Pedido Stock Security Campos Auxiliares Highlight Stock Security Potente vitamina C que actúa 10h en tu piel. Serum facial antiedad. Potente combinación de antioxidantes que combate el foto envejecimiento.",,false_no_registro_sanitario,,
