component_id,canonical_name,source_count,sources_present,has_regulatory_signal,has_safety_signal,regulatory_signal_count,safety_signal_count,total_ensayos_clinicos,ensayos_completados,tasa_no_completado,tasa_riesgo_toxicidad,interaction_degree_drugbank,created_from_primary_source
COMP_83336712C554,Magnesium,8,ODS | FDA Directory | Curated Alias | ChEBI | MeSH | RxNorm | AACT / ClinicalTrials | DrugBank,true,false,1,0,80,50,0.1,0.0,837,ODS
COMP_74A0D7A91DD6,AminocardolCardiominStenovasanVasofilinaLasodex,7,FDA Directory | PubChem | ChEBI | MeSH | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,28,15,0.14285714285714285,0.0,769,FDA_Dietary_Supplement_Ingredient_Directory
COMP_34BE8499B1C4,Boron,7,ODS | Curated Alias | PubChem | ChEBI | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,58,36,0.05172413793103448,0.0,0,ODS
COMP_3F24EA59D864,Chromium Picolinate,7,FDA Directory | Curated Alias | PubChem | ChEBI | RxNorm | AACT / ClinicalTrials | DrugBank,true,false,1,0,12,8,0.08333333333333333,0.0,2,FDA_Dietary_Supplement_Ingredient_Directory
COMP_CCEF1C481D8D,Pantothenic Acid,7,ODS | PubChem | ChEBI | MeSH | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,6,2,0.0,0.0,67,ODS
COMP_586F3B3DE0F3,Riboflavin,7,ODS | Curated Alias | ChEBI | MeSH | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,51,23,0.2549019607843137,0.0,38,ODS
COMP_723DBC80CC4E,Zinc,7,ODS | Curated Alias | PubChem | ChEBI | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,88,60,0.09090909090909091,0.011363636363636364,51,ODS
COMP_90AF93FFA118,AleveAnaproxMethoxypropiocinNaprosinNaprosynNaproxen SodiumProxenSodium NaproxenateSynflex,6,FDA Directory | ChEBI | MeSH | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,156,118,0.1282051282051282,0.00641025641025641,1485,FDA_Dietary_Supplement_Ingredient_Directory
COMP_641FDABDC956,Biotin,6,ODS | FDA Directory | MeSH | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,13,8,0.07692307692307693,0.0,0,ODS
COMP_8898CFB27A9E,CBD,6,FDA Directory | ChEBI | MeSH | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,228,106,0.17105263157894737,0.0,1441,FDA_Dietary_Supplement_Ingredient_Directory
COMP_A9136ADF22F7,FolateFolacin,6,FDA Directory | ChEBI | MeSH | RxNorm | AACT / ClinicalTrials | DrugBank,true,false,1,0,229,142,0.08296943231441048,0.017467248908296942,753,FDA_Dietary_Supplement_Ingredient_Directory
