item,ingredient,amount,unit,amount_mg,component_id,match_score,match_method
DE0238,ACIDO ASCORBICO,200.0,mg,200.0,COMP_67B16EEFC42F,100.0,exact_es
DE0238,ASCORBATO DE SODIO,337.44,mg,337.44,COMP_D7EB3863136A,100.0,exact_es
DE02495,ACIDO FOLICO,1.0,mg,1.0,COMP_A9136ADF22F7,100.0,manual_alias
DE02495,NICOTINAMIDA,8.19,mg,8.19,COMP_7A51909809FD,100.0,manual_alias
DE02495,ZINC,0.2,mg,0.2,COMP_723DBC80CC4E,100.0,exact_es
DE02495,ACIDO EICOSAPENTAENOICO (EPA),25.0,mg,25.0,COMP_F3C5987AA984,100.0,exact_es
DE02495,D-PANTOTENATO DE CALCIO,17.5,mg,17.5,COMP_CCEF1C481D8D,100.0,exact_translated
DE02495,CLORHIDRATO DE PIRIDOXINA,1.05,mg,1.05,COMP_B1D26385CE00,90.9090909090909,fuzzy_translated
DE02495,ACIDO DOCOSAHEXAENOICO (PESCADO),300.0,mg,300.0,COMP_F71DD4665D9C,100.0,pre_paren_fuzzy
DE02495,VITAMINA B2,2.2,mg,2.2,COMP_06B36D3A8FF3,95.23809523809523,fuzzy_translated
DE02495,COBRE,1.0,mg,1.0,COMP_E388F25D01B8,100.0,exact_es
DE02495,MAGNESIO,14.0,mg,14.0,COMP_83336712C554,100.0,exact_translated
DE02495,MANGANESO,1.0,mg,1.0,COMP_5FCBE278ABF3,100.0,exact_translated
DE02495,NITRATO DE TIAMINA,2.5,mg,2.5,COMP_4F4F134A6B55,100.0,exact_translated
DE02495,POTASIO (CITRATO DE POTASIO-FOSFATO MONOPOTASICO),8.0,mg,8.0,COMP_BB2F708BF799,90.0,pre_paren_translated
DE02495,SULFATO DE COBALTO,50.0,mcg,0.05,COMP_219459260BE3,100.0,exact_es
DE02495,VITAMINA A,561.0,ui,,COMP_90C4121BAE0C,100.0,exact_translated
DE02495,ACIDO ASCORBICO,42.0,mg,42.0,COMP_67B16EEFC42F,100.0,exact_es
DE02495,CIANOCOBALAMINA,1.15,mcg,0.00115,COMP_06B36D3A8FF3,100.0,manual_alias
DE02495,D-ALFA TOCOFEROL,10.5,ui,,COMP_D4790F9775EF,90.0,fuzzy_translated
DE02495,VITAMINA D3,440.0,ui,,COMP_94DFE28A9A5C,100.0,exact_translated
DE02495,FLUORURO DE SODIO,90.0,mcg,0.09,COMP_6B508AD11238,100.0,manual_alias
DE02495,MOLIBDENO,51.0,mcg,0.051000000000000004,COMP_526CEFBDED30,100.0,manual_alias
DE0254,ACIDO ASCORBICO,500.0,mg,500.0,COMP_67B16EEFC42F,100.0,exact_es
DE0254,CALCIO,100.0,mg,100.0,COMP_275450118D60,100.0,exact_translated
DE0254,CIANOCOBALAMINA,0.01,mg,0.01,COMP_06B36D3A8FF3,100.0,manual_alias
DE0254,MAGNESIO,100.0,mg,100.0,COMP_83336712C554,100.0,exact_translated
DE0254,NICOTINAMIDA,50.0,mg,50.0,COMP_7A51909809FD,100.0,manual_alias
DE0254,PANTOTENATO DE CALCIO,25.0,mg,25.0,COMP_CCEF1C481D8D,100.0,exact_translated
DE0254,CLORHIDRATO DE PIRIDOXINA,10.0,mg,10.0,COMP_B1D26385CE00,90.9090909090909,fuzzy_translated
DE0254,RIBOFLAVINA FOSFATO SODICO DIHIDRATO,20.51,mg,20.51,,0.0,
DE0254,CLORHIDRATO DE TIAMINA,18.54,mg,18.54,COMP_4F4F134A6B55,100.0,exact_translated
DE0254,ZINC,10.0,mg,10.0,COMP_723DBC80CC4E,100.0,exact_es
DE0254,ACIDO FOLICO,400.0,mcg,0.4,COMP_A9136ADF22F7,100.0,manual_alias
DE0254,BIOTINA,0.15,mg,0.15,COMP_641FDABDC956,100.0,manual_alias
DE0271,ASPARTATO DE ARGININA,5.0,g,5000.0,,0.0,
DE0295,ACIDO FOLICO,0.8,mg,0.8,COMP_A9136ADF22F7,100.0,manual_alias
DE0295,FOSFATO MONO POTASICO-PIROFOSFATO FERRICO-FOSFATO TRI CALCICO,125.0,mg,125.0,,0.0,
DE0295,MAGNESIO,100.0,mg,100.0,COMP_83336712C554,100.0,exact_translated
DE0295,MANGANESO,1.0,mg,1.0,COMP_5FCBE278ABF3,100.0,exact_translated
DE0295,NICOTINAMIDA,19.0,mg,19.0,COMP_7A51909809FD,100.0,manual_alias
DE0295,PANTOTENATO DE CALCIO,10.0,mg,10.0,COMP_CCEF1C481D8D,100.0,exact_translated
DE0295,VITAMINA E (TOCOFEROL),15.0,mg,15.0,COMP_5A316FA3FF05,88.88888888888889,fuzzy_translated
DE0295,VITAMINA D3,500.0,ui,,COMP_94DFE28A9A5C,100.0,exact_translated
DE0295,ZINC,7.5,mg,7.5,COMP_723DBC80CC4E,100.0,exact_es
DE0295,VITAMINA A 4,0.0,ui,,COMP_90C4121BAE0C,100.0,exact_translated
DE0295,VITAMINA C,100.0,mg,100.0,COMP_1BCB25859985,100.0,exact_translated
DE0295,VITAMINA B1,1.6,mg,1.6,COMP_06B36D3A8FF3,95.23809523809523,fuzzy_translated
DE0295,VITAMINA B12,4.0,mcg,0.004,COMP_06B36D3A8FF3,100.0,exact_translated
DE0295,VITAMINA B2,1.8,mg,1.8,COMP_06B36D3A8FF3,95.23809523809523,fuzzy_translated
DE0295,VITAMINA B6,2.6,mg,2.6,COMP_FB0BFF3E6E21,100.0,exact_translated
DE0295,BIOTINA,0.2,mg,0.2,COMP_641FDABDC956,100.0,manual_alias
DE0295,CALCIO,125.0,mg,125.0,COMP_275450118D60,100.0,exact_translated
DE0295,COBRE,1.0,mg,1.0,COMP_E388F25D01B8,100.0,exact_es
DE0295,HIERRO,60.0,mg,60.0,COMP_B6A8F8958154,100.0,exact_translated
DE0334,NICOTINAMIDA,50.0,mg,50.0,COMP_7A51909809FD,100.0,manual_alias
DE0334,CLORHIDRATO DE PIRIDOXINA,50.0,mg,50.0,COMP_B1D26385CE00,90.9090909090909,fuzzy_translated
DE0334,RIBOFLAVINA,5.0,mg,5.0,COMP_586F3B3DE0F3,100.0,manual_alias
DE0334,MONONITRATO DE TIAMINA,25.0,mg,25.0,COMP_4F4F134A6B55,100.0,manual_alias
DE0340,ACIDO FOLICO,1.0,mg,1.0,COMP_A9136ADF22F7,100.0,manual_alias
DE0340,FOSFATO MONO POTASICO-PIROFOSFATO FERRICO-FOSFATO TRI CALCICO,23.8,mg,23.8,,0.0,
DE0340,MAGNESIO,21.2,mg,21.2,COMP_83336712C554,100.0,exact_translated
DE0340,MANGANESO,0.5,mg,0.5,COMP_5FCBE278ABF3,100.0,exact_translated
DE0340,MOLIBDENO,0.1,mg,0.1,COMP_526CEFBDED30,100.0,manual_alias
DE0340,NICOTINAMIDA,50.0,mg,50.0,COMP_7A51909809FD,100.0,manual_alias
DE0340,PANTOTENATO DE CALCIO,11.6,mg,11.6,COMP_CCEF1C481D8D,100.0,exact_translated
DE0340,VITAMINA E (TOCOFEROL),10.0,mg,10.0,COMP_5A316FA3FF05,88.88888888888889,fuzzy_translated
DE0340,VITAMINA D3,500.0,ui,,COMP_94DFE28A9A5C,100.0,exact_translated
DE0340,ZINC,1.0,mg,1.0,COMP_723DBC80CC4E,100.0,exact_es
DE0340,VITAMINA A 3,333.0,ui,,COMP_90C4121BAE0C,100.0,exact_translated
DE0340,VITAMINA C,150.0,mg,150.0,COMP_1BCB25859985,100.0,exact_translated
DE0340,VITAMINA B1,20.0,mg,20.0,COMP_06B36D3A8FF3,95.23809523809523,fuzzy_translated
DE0340,VITAMINA B12,5.0,mcg,0.005,COMP_06B36D3A8FF3,100.0,exact_translated
DE0340,VITAMINA B6,10.0,mg,10.0,COMP_FB0BFF3E6E21,100.0,exact_translated
DE0340,BIOTINA,250.0,mcg,0.25,COMP_641FDABDC956,100.0,manual_alias
DE0340,CALCIO,51.3,mg,51.3,COMP_275450118D60,100.0,exact_translated
DE0340,COBRE,1.0,mg,1.0,COMP_E388F25D01B8,100.0,exact_es
DE0340,HIERRO,10.0,mg,10.0,COMP_B6A8F8958154,100.0,exact_translated
DE0371,ACIDO ASCORBICO 1,0.0,mg,0.0,COMP_67B16EEFC42F,100.0,exact_es
DE0376,VITAMINA E (TOCOFEROL),400.0,ui,,COMP_5A316FA3FF05,88.88888888888889,fuzzy_translated
DE0377,DL-ALFA ACETATO DE TOCOFEROL 1,0.0,ui,,COMP_D4790F9775EF,100.0,manual_alias
DE0384,ACIDO ASCORBICO,500.0,mg,500.0,COMP_67B16EEFC42F,100.0,exact_es
DE0384,BIOTINA,45.0,mcg,0.045,COMP_641FDABDC956,100.0,manual_alias
DE0384,CIANOCOBALAMINA,12.0,mcg,0.012,COMP_06B36D3A8FF3,100.0,manual_alias
DE0384,RIBOFLAVINA,10.0,mg,10.0,COMP_586F3B3DE0F3,100.0,manual_alias
DE0384,SULFATO DE ZINC,58.99,mg,58.99,COMP_723DBC80CC4E,100.0,exact_es
DE0384,OXIDO DE COBRE,3.75,mg,3.75,COMP_E388F25D01B8,100.0,exact_es
DE0384,FOSFATO DICALCICO,261.92,mg,261.92,,0.0,
DE0384,DL-ALFA ACETATO DE TOCOFERILO,30.0,ui,,COMP_D4790F9775EF,100.0,manual_alias
DE0384,VITAMINA B1,10.0,mg,10.0,COMP_06B36D3A8FF3,95.23809523809523,fuzzy_translated
DE0384,VITAMINA B6,5.0,mg,5.0,COMP_FB0BFF3E6E21,100.0,exact_translated
DE0384,FOLATO,400.0,mcg,0.4,COMP_153CD3CDEDF5,100.0,exact_es
DE0384,ACIDO PANTOTENICO,20.0,mg,20.0,COMP_CCEF1C481D8D,100.0,manual_alias
DE0384,NIACINA,100.0,mg,100.0,COMP_7A51909809FD,92.3076923076923,fuzzy_translated
